timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-08-08T0100,3669A,114.4706,36.0634,安阳市,左辅环卫站,颗粒物(PM10),65,71,66,30,34,93,93,NA,NA,7,9,3,5,0.6,0.8
2026-08-08T0100,4117A,114.2918,36.0769,安阳市,钢三路198号,,50,42,48,35,33,86,86,NA,NA,8,5,3,4,0.6,0.6
2026-08-08T0100,1748A,123.0441,41.1201,鞍山市,深沟寺,,17,17,26,9,13,47,47,NA,NA,12,12,6,5,0.4,0.7
2026-08-08T0100,1749A,123.011,41.0931,鞍山市,太阳城,NA,NA,44,52,10,29,48,48,NA,NA,NA,16,2,3,0.9,1.4
2026-08-08T0100,1750A,123.0483,41.1445,鞍山市,太平,,18,18,31,7,13,45,45,NA,NA,10,11,6,6,0.4,0.7
2026-08-08T0100,1751A,122.964,41.0968,鞍山市,铁西三道街,,36,30,48,14,20,23,23,NA,NA,35,24,32,18,3.6,2.4
2026-08-08T0100,1753A,123.0219,41.0822,鞍山市,明达新区,,17,17,30,7,15,48,48,NA,NA,10,10,3,4,0.7,1
2026-08-08T0100,4201A,122.944647,41.082639,鞍山市,兴盛南路290号,,34,34,53,11,18,22,22,NA,NA,39,27,37,15,1.9,1.2
2026-08-08T0100,2195A,107.4206,40.7609,巴彦淖尔市,附二中,颗粒物(PM10),61,65,40,34,24,65,65,NA,NA,25,12,10,11,0.6,0.6
2026-08-08T0100,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,颗粒物(PM10),56,58,48,26,22,83,83,NA,NA,14,8,14,12,0.8,0.8
2026-08-08T0100,1956A,86.1476,41.7529,巴音郭楞蒙古自治州,孔雀公园,NA,NA,48,54,15,15,117,117,NA,NA,4,11,NA,8,0.2,0.2
2026-08-08T0100,1957A,86.1971,41.7166,巴音郭楞蒙古自治州,棉纺厂,颗粒物(PM10),58,60,59,16,17,118,118,NA,NA,5,13,/,/,/,/
2026-08-08T0100,1958A,86.236,41.7172,巴音郭楞蒙古自治州,经济开发区,,43,43,46,13,14,117,117,NA,NA,7,9,4,5,0.1,0.2
2026-08-08T0100,3181A,106.776805,31.852614,巴中市,市五中,,15,15,12,9,6,18,18,NA,NA,10,7,9,9,0.5,0.5
2026-08-08T0100,3183A,106.7419,31.8654,巴中市,圣泉水务公司,,16,14,11,11,6,15,15,NA,NA,14,7,10,10,0.7,0.6
2026-08-08T0100,3616A,106.7617,31.8343,巴中市,市中心医院,,44,44,19,29,10,18,18,NA,NA,20,9,6,6,0.6,0.5
2026-08-08T0100,2235A,122.7909,45.608,白城市,洮北区环保局,,29,24,27,20,15,30,30,NA,NA,11,7,4,4,0.2,0.2
2026-08-08T0100,2236A,122.8741,45.5725,白城市,市环保局,,17,17,16,9,12,40,40,NA,NA,15,7,4,4,0.3,0.3
2026-08-08T0100,2231A,126.4219,41.9172,白山市,喜丰,,24,24,37,3,10,63,63,NA,NA,6,11,9,8,0.4,0.6
2026-08-08T0100,2232A,126.4082,41.9416,白山市,环保局,,22,10,22,3,10,68,68,NA,NA,1,5,11,10,0.5,0.6
2026-08-08T0100,2647A,104.1727,36.5448,白银市,第三小学,,23,23,31,9,12,51,51,NA,NA,26,14,3,22,0.5,0.7
