,O3H8_level,regioncode,O3,latitude,CO_level,SYWRW,PM10H24,NO2,O3H8,O3_level,PM10_color,PM25_color,SO2,sitename,O3H8_color,AQI,NO2_level,AQI_level,PM10H24_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,PM25H24_color,sitecode,PM25H24_level,AQI_color,districtname,O3_color,SO2_level,PM10,PM25H24,PM10H24_color,sort,time
0,优,330421,78,30.836,优,--,33,15,92,优,#00E400,#00E400,4,嘉善监测大楼,#00E400,25,优,优,优,330400,#00E400,120.9226,#00E400,8,优,0.5,优,#00E400,#00E400,330421001,优,#00E400,嘉兴市,#00E400,优,23,18,#00E400,1,2026-09-09 20:00:00
1,良,330281,81,30.0358,优,--,28,16,110,优,#00E400,#00E400,5,姚江小学,#FFFF00,26,优,优,优,330200,#00E400,121.1221,#00E400,12,优,0.4,优,#00E400,#00E400,330281002,优,#00E400,宁波市,#00E400,优,25,18,#00E400,2,2026-09-09 20:00:00
2,优,330481,78,30.5261,优,--,37,17,90,优,#00E400,#00E400,6,海宁监测大楼,#00E400,26,优,优,优,330400,#00E400,120.6739,#00E400,11,优,0.4,优,#00E400,#00E400,330481001,优,#00E400,嘉兴市,#00E400,优,26,19,#00E400,2,2026-09-09 20:00:00
3,优,330424,76,30.5299,优,--,32,19,88,优,#00E400,#00E400,4,海盐商贸学校,#00E400,26,优,优,优,330400,#00E400,120.9293,#00E400,10,优,0.5,优,#00E400,#00E400,330424002,优,#00E400,嘉兴市,#00E400,优,26,18,#00E400,2,2026-09-09 20:00:00
4,良,330522,83,31.0143,优,--,28,12,108,优,#00E400,#00E400,5,职教中心,#FFFF00,26,优,优,优,330500,#00E400,119.8935,#00E400,10,优,0.5,优,#00E400,#00E400,330522001,优,#00E400,湖州市,#00E400,优,26,14,#00E400,2,2026-09-09 20:00:00
5,优,330482,78,30.6937,优,--,29,14,96,优,#00E400,#00E400,9,平湖幼儿园,#00E400,27,优,优,优,330400,#00E400,121.0259,#00E400,9,优,0.4,优,#00E400,#00E400,330482001,优,#00E400,嘉兴市,#00E400,优,27,14,#00E400,6,2026-09-09 20:00:00
6,良,330522,84,31.0263,优,--,36,14,106,优,#00E400,#00E400,5,龙山新区,#FFFF00,27,优,优,优,330500,#00E400,119.9046,#00E400,11,优,0.4,优,#00E400,#00E400,330522002,优,#00E400,湖州市,#00E400,优,23,16,#00E400,6,2026-09-09 20:00:00
7,良,330281,84,30.0497,优,--,34,16,111,优,#00E400,#00E400,5,龙山公园,#FFFF00,28,优,优,优,330200,#00E400,121.1475,#00E400,11,优,0.4,优,#00E400,#00E400,330281001,优,#00E400,宁波市,#00E400,优,28,18,#00E400,8,2026-09-09 20:00:00
8,良,330225,89,29.4767,优,--,30,11,105,优,#00E400,#00E400,8,文峰小学,#FFFF00,28,优,优,优,330200,#00E400,121.8864,#00E400,9,优,0.4,优,#00E400,#00E400,330225001,优,#00E400,宁波市,#00E400,优,26,16,#00E400,8,2026-09-09 20:00:00
9,优,330481,89,30.5137,优,--,34,13,98,优,#00E400,#00E400,7,硖石街道,#00E400,28,优,优,优,330400,#00E400,120.7082,#00E400,9,优,0.5,优,#00E400,#00E400,330481002,优,#00E400,嘉兴市,#00E400,优,27,18,#00E400,8,2026-09-09 20:00:00
10,良,331126,89,27.629585,优,--,24,6,104,优,#00E400,#00E400,6,庆元监测楼,#FFFF00,28,优,优,优,331100,#00E400,119.054809,#00E400,14,优,0.5,优,#00E400,#00E400,331126001,优,#00E400,丽水市,#00E400,优,22,16,#00E400,8,2026-09-09 20:00:00
11,良,330481,88,30.5524,优,--,38,14,102,优,#00E400,#00E400,7,胜利社区,#FFFF00,28,优,优,优,330400,#00E400,120.6713,#00E400,9,优,0.5,优,#00E400,#00E400,330481003,优,#00E400,嘉兴市,#00E400,优,21,18,#00E400,8,2026-09-09 20:00:00
12,优,330922,91,30.7269,优,--,26,3,92,优,#00E400,#00E400,7,嵊泗菜园,#00E400,29,优,优,优,330900,#00E400,122.4464,#00E400,9,优,0.4,优,#00E400,#00E400,330922001,优,#00E400,舟山市,#00E400,优,25,11,#00E400,13,2026-09-09 20:00:00
13,优,330921,90,30.2669,优,--,32,11,95,优,#00E400,#00E400,6,岱山环保大楼,#00E400,29,优,优,优,330900,#00E400,122.2199,#00E400,9,优,0.5,优,#00E400,#00E400,330921001,优,#00E400,舟山市,#00E400,优,25,14,#00E400,13,2026-09-09 20:00:00
14,优,330921,92,30.2517,优,--,31,5,97,优,#00E400,#00E400,8,岱山高亭,#00E400,29,优,优,优,330900,#00E400,122.1958,#00E400,9,优,0.5,优,#00E400,#00E400,330921002,优,#00E400,舟山市,#00E400,优,27,13,#00E400,13,2026-09-09 20:00:00
15,良,330212,90,29.7736,优,--,33,11,109,优,#00E400,#00E400,4,钱湖水厂,#FFFF00,29,优,优,优,330200,#00E400,121.6330,#00E400,10,优,0.5,优,#00E400,#00E400,2013302120001,优,#00E400,宁波市,#00E400,优,27,14,#00E400,13,2026-09-09 20:00:00
16,良,330483,91,30.7369,优,--,28,17,113,优,#00E400,#00E400,10,植材小学,#FFFF00,29,优,优,优,330400,#00E400,120.4902,#00E400,13,优,0.7,优,#00E400,#00E400,330483509,优,#00E400,嘉兴市,#00E400,优,29,14,#00E400,13,2026-09-09 20:00:00
17,优,330329,96,27.557,优,--,27,9,99,优,#00E400,#00E400,6,罗阳,#00E400,30,优,优,优,330300,#00E400,119.7084,#00E400,21,优,0.5,优,#00E400,#00E400,330329001,优,#00E400,温州市,#00E400,优,30,18,#00E400,18,2026-09-09 20:00:00
18,良,330523,86,30.5974,优,--,27,12,112,优,#00E400,#00E400,7,安吉城东,#FFFF00,30,优,优,优,330500,#00E400,119.6953,#00E400,19,优,0.6,优,#00E400,#00E400,330523002,优,#00E400,湖州市,#00E400,优,30,20,#00E400,18,2026-09-09 20:00:00
19,优,330421,82,30.8307,优,--,32,17,97,优,#00E400,#00E400,10,气象观测台,#00E400,31,优,优,优,330400,#00E400,120.9356,#00E400,7,优,0.5,优,#00E400,#00E400,330421002,优,#00E400,嘉兴市,#00E400,优,31,12,#00E400,20,2026-09-09 20:00:00
20,优,330483,81,30.6355,优,--,36,15,97,优,#00E400,#00E400,10,文化中心,#00E400,31,优,优,优,330400,#00E400,120.5795,#00E400,11,优,0.5,优,#00E400,#00E400,330483003,优,#00E400,嘉兴市,#00E400,优,31,18,#00E400,20,2026-09-09 20:00:00
21,良,330282,84,30.1786,优,--,39,19,113,优,#00E400,#00E400,4,慈溪实验小学,#FFFF00,32,优,优,优,330200,#00E400,121.2525,#00E400,14,优,0.5,优,#00E400,#00E400,330282002,优,#00E400,宁波市,#00E400,优,32,18,#00E400,22,2026-09-09 20:00:00
22,优,330483,85,30.6488,优,--,36,20,98,优,#00E400,#00E400,4,茅盾小学,#00E400,32,优,优,优,330400,#00E400,120.5498,#00E400,11,优,0.4,优,#00E400,#00E400,330483001,优,#00E400,嘉兴市,#00E400,优,32,18,#00E400,22,2026-09-09 20:00:00
