,O3H8_level,regioncode,O3,latitude,CO_level,SYWRW,PM10H24,NO2,O3H8,O3_level,PM10_color,PM25_color,SO2,sitename,O3H8_color,AQI,NO2_level,AQI_level,PM10H24_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,PM25H24_color,sitecode,PM25H24_level,AQI_color,districtname,O3_color,SO2_level,PM10,PM25H24,PM10H24_color,sort,time
0,优,330329,75,27.557,优,--,37,6,80,优,#00E400,#00E400,5,罗阳,#00E400,24,优,优,优,330300,#00E400,119.7084,#00E400,12,优,0.6,优,#00E400,#00E400,330329001,优,#00E400,温州市,#00E400,优,19,25,#00E400,1,2026-09-21 17:00:00
1,优,330329,81,27.5438,优,--,35,4,82,优,#00E400,#00E400,8,泰顺实验中学,#00E400,26,优,优,优,330300,#00E400,119.716111,#00E400,13,优,0.5,优,#00E400,#00E400,330329002,优,#00E400,温州市,#00E400,优,16,27,#00E400,2,2026-09-21 17:00:00
2,优,331126,81,27.629585,优,--,33,5,75,优,#00E400,#00E400,6,庆元监测楼,#00E400,26,优,优,优,331100,#00E400,119.054809,#00E400,17,优,0.5,优,#00E400,#00E400,331126001,优,#00E400,丽水市,#00E400,优,22,21,#00E400,2,2026-09-21 17:00:00
3,优,331126,81,27.6211,优,--,29,5,81,优,#00E400,#00E400,7,庆元气象局,#00E400,26,优,优,优,331100,#00E400,119.0788,#00E400,10,优,0.7,优,#00E400,#00E400,331126002,优,#00E400,丽水市,#00E400,优,16,22,#00E400,2,2026-09-21 17:00:00
4,优,331181,87,28.076,优,--,31,4,84,优,#00E400,#00E400,6,粮食大楼,#00E400,28,优,优,优,331100,#00E400,119.1217,#00E400,13,优,0.3,优,#00E400,#00E400,331181002,优,#00E400,丽水市,#00E400,优,21,21,#00E400,5,2026-09-21 17:00:00
5,优,330824,45,29.1478,优,--,28,22,85,优,#00E400,#00E400,7,开化监测大楼,#00E400,30,优,优,优,330800,#00E400,118.4108,#00E400,21,优,0.7,优,#00E400,#00E400,330824002,优,#00E400,衢州市,#00E400,优,29,20,#00E400,6,2026-09-21 17:00:00
6,优,331181,93,28.08007,优,--,34,6,86,优,#00E400,#00E400,8,龙泉环保大楼,#00E400,30,优,优,优,331100,#00E400,119.1328,#00E400,16,优,0.4,优,#00E400,#00E400,331181001,优,#00E400,丽水市,#00E400,优,25,24,#00E400,6,2026-09-21 17:00:00
7,优,330127,100,29.5995,优,--,31,9,95,优,#00E400,#00E400,7,淳安环保大楼,#00E400,32,优,优,优,330100,#00E400,119.0481,#00E400,14,优,0.7,优,#00E400,#00E400,330127001,优,#00E400,杭州市,#00E400,优,22,22,#00E400,8,2026-09-21 17:00:00
8,优,330824,51,29.1343,优,--,31,19,88,优,#00E400,#00E400,7,开化气象局,#00E400,32,优,优,优,330800,#00E400,118.402,#00E400,18,优,0.6,优,#00E400,#00E400,330824001,优,#00E400,衢州市,#00E400,优,32,18,#00E400,8,2026-09-21 17:00:00
9,优,331124,100,28.4505,优,--,32,9,96,优,#00E400,#00E400,4,松阳监测楼,#00E400,32,优,优,优,331100,#00E400,119.4799,#00E400,19,优,0.5,优,#00E400,#00E400,331124001,优,#00E400,丽水市,#00E400,优,27,21,#00E400,8,2026-09-21 17:00:00
10,良,330127,105,29.605,优,--,28,5,101,优,#00E400,#00E400,7,老年活动中心,#FFFF00,33,优,优,优,330100,#00E400,119.0372,#00E400,13,优,0.6,优,#00E400,#00E400,330127T_4,优,#00E400,杭州市,#00E400,优,21,20,#00E400,11,2026-09-21 17:00:00
11,优,330328,103,27.7838,优,--,38,6,85,优,#00E400,#00E400,9,大峃,#00E400,33,优,优,优,330300,#00E400,120.085,#00E400,16,优,0.4,优,#00E400,#00E400,330328001,优,#00E400,温州市,#00E400,优,26,23,#00E400,11,2026-09-21 17:00:00
12,优,331127,104,27.9772,优,--,30,8,95,优,#00E400,#00E400,5,景宁县政府,#00E400,33,优,优,优,331100,#00E400,119.6311,#00E400,17,优,0.5,优,#00E400,#00E400,331127002,优,#00E400,丽水市,#00E400,优,16,23,#00E400,11,2026-09-21 17:00:00
13,优,331127,107,28.002222,优,--,33,8,95,优,#00E400,#00E400,5,红星小学,#00E400,34,优,优,优,331100,#00E400,119.636389,#00E400,12,优,0.5,优,#00E400,#00E400,331127003,优,#00E400,丽水市,#00E400,优,19,25,#00E400,14,2026-09-21 17:00:00
14,良,331124,108,28.4516,优,--,36,7,104,优,#00E400,#00E400,6,和平水厂,#FFFF00,34,优,优,优,331100,#00E400,119.4699,#00E400,16,优,0.5,优,#00E400,#00E400,331124002,优,#00E400,丽水市,#00E400,优,26,22,#00E400,14,2026-09-21 17:00:00
15,良,330822,115,28.901,优,--,43,10,111,优,#00E400,#00E400,5,常山环保大楼,#FFFF00,36,优,优,优,330800,#00E400,118.5196,#00E400,21,优,0.7,优,#00E400,#00E400,330822001,优,#00E400,衢州市,#00E400,优,31,28,#00E400,16,2026-09-21 17:00:00
16,良,331121,113,28.1341,优,--,41,16,105,优,#00E400,#00E400,4,塔山小学,#FFFF00,36,优,优,优,331100,#00E400,120.2936,#00E400,23,优,0.5,优,#00E400,#00E400,331121001,优,#00E400,丽水市,#00E400,优,34,32,#00E400,16,2026-09-21 17:00:00
17,良,331024,116,28.8589,优,--,26,10,113,优,#00E400,#00E400,8,仙居环监站,#FFFF00,37,优,优,优,331000,#00E400,120.7248,#00E400,15,优,0.6,优,#00E400,#00E400,331024001,优,#00E400,台州市,#00E400,优,26,18,#00E400,18,2026-09-21 17:00:00
18,良,330822,121,28.9012,优,--,40,12,115,优,#00E400,#00E400,5,图书馆大楼,#FFFF00,38,优,优,优,330800,#00E400,118.5062,#00E400,21,优,0.5,优,#00E400,#00E400,330822002,优,#00E400,衢州市,#00E400,优,32,25,#00E400,19,2026-09-21 17:00:00
19,良,331125,121,28.1173,优,--,28,10,103,优,#00E400,#00E400,6,云和监测楼,#FFFF00,38,优,优,优,331100,#00E400,119.5626,#00E400,15,优,0.5,优,#00E400,#00E400,331125001,优,#00E400,丽水市,#00E400,优,21,23,#00E400,19,2026-09-21 17:00:00
20,良,330781,122,29.229931,优,--,26,8,128,优,#00E400,#00E400,7,兰溪八中,#FFFF00,39,优,优,优,330700,#00E400,119.475172,#00E400,22,优,0.6,优,#00E400,#00E400,330781002,优,#00E400,金华市,#00E400,优,25,29,#00E400,21,2026-09-21 17:00:00
21,良,331123,124,28.5991,优,--,33,8,107,优,#00E400,#00E400,8,遂昌民政局,#FFFF00,39,优,优,优,331100,#00E400,119.2622,#00E400,18,优,0.6,优,#00E400,#00E400,331123001,优,#00E400,丽水市,#00E400,优,26,24,#00E400,21,2026-09-21 17:00:00
22,优,330328,102,27.804722,优,--,38,7,86,优,#00E400,#00E400,9,文成中学,#00E400,40,优,优,优,330300,#00E400,120.077222,#00E400,28,优,0.6,优,#00E400,#00E400,330328002,优,#00E400,温州市,#00E400,优,30,22,#00E400,23,2026-09-21 17:00:00
23,良,330781,127,29.216166,优,--,35,9,122,优,#00E400,#00E400,7,兰溪监测站,#FFFF00,40,优,优,优,330700,#00E400,119.459992,#00E400,18,优,0.6,优,#00E400,#00E400,330781001,优,#00E400,金华市,#00E400,优,28,23,#00E400,23,2026-09-21 17:00:00
24,良,330881,126,28.7282,优,--,46,9,131,优,#00E400,#00E400,6,人民医院,#FFFF00,40,优,优,优,330800,#00E400,118.6227,#00E400,22,优,0.7,优,#00E400,#00E400,330881002,优,#00E400,衢州市,#00E400,优,32,33,#00E400,23,2026-09-21 17:00:00
