时间,鸿旺,欧伦
2026-09-23 00:00:00,0.0,0.0
2026-09-23 00:15:00,0.0,0.0
2026-09-23 00:30:00,0.0,0.0
2026-09-23 00:45:00,0.0,0.0
2026-09-23 01:00:00,0.0,0.0
2026-09-23 01:15:00,0.0,0.0
2026-09-23 01:30:00,0.0,0.0
2026-09-23 01:45:00,0.0,0.0
2026-09-23 02:00:00,0.0,0.0
2026-09-23 02:15:00,0.0,0.0
2026-09-23 02:30:00,0.0,0.0
2026-09-23 02:45:00,0.0,0.0
2026-09-23 03:00:00,0.0,0.0
2026-09-23 03:15:00,0.0,0.0
2026-09-23 03:30:00,0.0,0.0
2026-09-23 03:45:00,0.0,0.0
2026-09-23 04:00:00,0.0,0.0
2026-09-23 04:15:00,0.0,0.0
2026-09-23 04:30:00,0.0,0.0
2026-09-23 04:45:00,0.0,0.0
2026-09-23 05:00:00,0.0,0.0
2026-09-23 05:15:00,0.0,0.0
2026-09-23 05:30:00,0.00033,0.0
2026-09-23 05:45:00,0.00076,0.00068
2026-09-23 06:00:00,0.00437,0.00453
2026-09-23 06:15:00,0.01047,0.00952
2026-09-23 06:30:00,0.02036,0.02025
2026-09-23 06:45:00,0.02255,0.02352
2026-09-23 07:00:00,0.04349,0.03589
2026-09-23 07:15:00,0.12654,0.12249
2026-09-23 07:30:00,0.07616,0.08104
2026-09-23 07:45:00,0.13591,0.13492
2026-09-23 08:00:00,0.2266,0.21997
2026-09-23 08:15:00,0.24147,0.25488
2026-09-23 08:30:00,0.2602,0.27888
2026-09-23 08:45:00,0.2923,0.26195
2026-09-23 09:00:00,0.8245,0.83829
2026-09-23 09:15:00,0.89675,0.89939
2026-09-23 09:30:00,0.89966,0.93862
2026-09-23 09:45:00,0.69149,0.99228
2026-09-23 10:00:00,0.78686,0.95361
2026-09-23 10:15:00,1.02325,0.90164
2026-09-23 10:30:00,0.52244,0.53036
2026-09-23 10:45:00,0.72709,0.71283
2026-09-23 11:00:00,0.43054,0.4319
2026-09-23 11:15:00,0.40962,0.45807
2026-09-23 11:30:00,0.42025,0.40971
2026-09-23 11:45:00,0.44538,0.42966
2026-09-23 12:00:00,0.51421,0.49748
2026-09-23 12:15:00,0.66675,0.7231
2026-09-23 12:30:00,0.48208,0.49555
2026-09-23 12:45:00,0.46323,0.49586
2026-09-23 13:00:00,0.41174,0.42636
2026-09-23 13:15:00,0.42624,0.4241
2026-09-23 13:30:00,0.42229,0.4632
2026-09-23 13:45:00,,
2026-09-23 14:00:00,,
2026-09-23 14:15:00,,
2026-09-23 14:30:00,,
2026-09-23 14:45:00,,
2026-09-23 15:00:00,,
2026-09-23 15:15:00,,
2026-09-23 15:30:00,,
2026-09-23 15:45:00,,
2026-09-23 16:00:00,,
2026-09-23 16:15:00,,
2026-09-23 16:30:00,,
2026-09-23 16:45:00,,
2026-09-23 17:00:00,,
2026-09-23 17:15:00,,
2026-09-23 17:30:00,,
2026-09-23 17:45:00,,
2026-09-23 18:00:00,,
2026-09-23 18:15:00,,
2026-09-23 18:30:00,,
2026-09-23 18:45:00,,
2026-09-23 19:00:00,,
2026-09-23 19:15:00,,
2026-09-23 19:30:00,,
2026-09-23 19:45:00,,
2026-09-23 20:00:00,,
2026-09-23 20:15:00,,
2026-09-23 20:30:00,,
2026-09-23 20:45:00,,
2026-09-23 21:00:00,,
2026-09-23 21:15:00,,
2026-09-23 21:30:00,,
2026-09-23 21:45:00,,
2026-09-23 22:00:00,,
2026-09-23 22:15:00,,
2026-09-23 22:30:00,,
2026-09-23 22:45:00,,
2026-09-23 23:00:00,,
2026-09-23 23:15:00,,
2026-09-23 23:30:00,,
2026-09-23 23:45:00,,
