,O3H8_level,regioncode,O3,latitude,CO_level,SYWRW,PM10H24,NO2,O3H8,O3_level,PM10_color,PM25_color,SO2,sitename,O3H8_color,AQI,NO2_level,AQI_level,PM10H24_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,PM25H24_color,sitecode,PM25H24_level,AQI_color,districtname,O3_color,SO2_level,PM10,PM25H24,PM10H24_color,sort,time
0,优,330922,75,30.7269,优,--,22,5,86,优,#00E400,#00E400,7,嵊泗菜园,#00E400,24,优,优,优,330900,#00E400,122.4464,#00E400,8,优,0.5,优,#00E400,#00E400,330922001,优,#00E400,舟山市,#00E400,优,16,9,#00E400,1,2026-09-10 23:00:00
1,优,330329,77,27.557,优,--,25,9,89,优,#00E400,#00E400,6,罗阳,#00E400,25,优,优,优,330300,#00E400,119.7084,#00E400,13,优,0.5,优,#00E400,#00E400,330329001,优,#00E400,温州市,#00E400,优,25,16,#00E400,2,2026-09-10 23:00:00
2,良,330726,79,29.465746,优,--,21,12,107,优,#00E400,#00E400,6,浦江实验中学,#FFFF00,25,优,优,优,330700,#00E400,119.875227,#00E400,11,优,0.6,优,#00E400,#00E400,330726001,优,#00E400,金华市,#00E400,优,20,11,#00E400,2,2026-09-10 23:00:00
3,优,330921,79,30.2669,优,--,32,17,100,优,#00E400,#00E400,6,岱山环保大楼,#00E400,25,优,优,优,330900,#00E400,122.2199,#00E400,10,优,0.6,优,#00E400,#00E400,330921001,优,#00E400,舟山市,#00E400,优,21,13,#00E400,2,2026-09-10 23:00:00
4,良,330921,78,30.2517,优,--,33,12,104,优,#00E400,#00E400,9,岱山高亭,#FFFF00,25,优,优,优,330900,#00E400,122.1958,#00E400,9,优,0.6,优,#00E400,#00E400,330921002,优,#00E400,舟山市,#00E400,优,19,14,#00E400,2,2026-09-10 23:00:00
5,优,331125,72,28.1173,优,--,23,13,91,优,#00E400,#00E400,6,云和监测楼,#00E400,25,优,优,优,331100,#00E400,119.5626,#00E400,15,优,0.4,优,#00E400,#00E400,331125001,优,#00E400,丽水市,#00E400,优,25,13,#00E400,2,2026-09-10 23:00:00
6,优,330182,72,29.4769,优,--,25,10,99,优,#00E400,#00E400,8,建德监测大楼,#00E400,26,优,优,优,330100,#00E400,119.2711,#00E400,16,优,0.6,优,#00E400,#00E400,330182T_2,优,#00E400,杭州市,#00E400,优,26,12,#00E400,7,2026-09-10 23:00:00
7,良,330523,81,30.5974,优,--,20,16,112,优,#00E400,#00E400,6,安吉城东,#FFFF00,26,优,优,优,330500,#00E400,119.6953,#00E400,16,优,0.5,优,#00E400,#00E400,330523002,优,#00E400,湖州市,#00E400,优,26,11,#00E400,7,2026-09-10 23:00:00
8,优,331181,85,28.076,优,--,26,7,88,优,#00E400,#00E400,10,粮食大楼,#00E400,27,优,优,优,331100,#00E400,119.1217,#00E400,15,优,0.5,优,#00E400,#00E400,331181002,优,#00E400,丽水市,#00E400,优,24,16,#00E400,9,2026-09-10 23:00:00
9,良,330482,85,30.6937,优,--,29,14,117,优,#00E400,#00E400,12,平湖幼儿园,#FFFF00,28,优,优,优,330400,#00E400,121.0259,#00E400,14,优,0.7,优,#00E400,#00E400,330482001,优,#00E400,嘉兴市,#00E400,优,28,13,#00E400,10,2026-09-10 23:00:00
10,良,330482,83,30.7292,优,--,30,14,109,优,#00E400,#00E400,11,陆家桥村,#FFFF00,28,优,优,优,330400,#00E400,120.9953,#00E400,14,优,0.7,优,#00E400,#00E400,330482002,优,#00E400,嘉兴市,#00E400,优,28,14,#00E400,10,2026-09-10 23:00:00
11,优,331024,69,28.7403,优,--,24,13,92,优,#00E400,#00E400,6,新生中学,#00E400,28,优,优,优,331000,#00E400,120.4728,#00E400,18,优,0.5,优,#00E400,#00E400,331024002,优,#00E400,台州市,#00E400,优,28,14,#00E400,10,2026-09-10 23:00:00
12,良,331123,80,28.5839,优,--,34,12,111,优,#00E400,#00E400,8,遂昌中学,#FFFF00,28,优,优,优,331100,#00E400,119.2656,#00E400,18,优,0.6,优,#00E400,#00E400,331123002,优,#00E400,丽水市,#00E400,优,28,19,#00E400,10,2026-09-10 23:00:00
13,优,331181,80,28.08007,优,--,29,9,96,优,#00E400,#00E400,8,龙泉环保大楼,#00E400,28,优,优,优,331100,#00E400,119.1328,#00E400,16,优,0.4,优,#00E400,#00E400,331181001,优,#00E400,丽水市,#00E400,优,28,16,#00E400,10,2026-09-10 23:00:00
14,良,330381,91,27.791645,优,--,26,12,108,优,#00E400,#00E400,9,花园桥,#FFFF00,29,优,优,优,330300,#00E400,120.62372,#00E400,14,优,0.5,优,#00E400,#00E400,330381001,优,#00E400,温州市,#00E400,优,28,14,#00E400,15,2026-09-10 23:00:00
15,优,331126,92,27.629585,优,--,25,6,90,优,#00E400,#00E400,6,庆元监测楼,#00E400,29,优,优,优,331100,#00E400,119.054809,#00E400,11,优,0.6,优,#00E400,#00E400,331126001,优,#00E400,丽水市,#00E400,优,18,16,#00E400,15,2026-09-10 23:00:00
16,良,330381,96,27.782284,优,--,21,16,123,优,#00E400,#00E400,9,安阳新区,#FFFF00,30,优,优,优,330300,#00E400,120.650915,#00E400,15,优,0.4,优,#00E400,#00E400,330381002,优,#00E400,温州市,#00E400,优,26,11,#00E400,17,2026-09-10 23:00:00
17,优,330324,95,28.044335,优,--,31,8,98,优,#00E400,#00E400,5,瓯北,#00E400,30,优,优,优,330300,#00E400,120.654963,#00E400,13,优,0.5,优,#00E400,#00E400,330324002,优,#00E400,温州市,#00E400,优,22,17,#00E400,17,2026-09-10 23:00:00
18,优,330328,94,27.804722,优,--,36,8,100,优,#00E400,#00E400,8,文成中学,#00E400,30,优,优,优,330300,#00E400,120.077222,#00E400,20,优,0.6,优,#00E400,#00E400,330328002,优,#00E400,温州市,#00E400,优,29,22,#00E400,17,2026-09-10 23:00:00
19,良,330781,95,29.216166,优,--,26,15,118,优,#00E400,#00E400,8,兰溪监测站,#FFFF00,30,优,优,优,330700,#00E400,119.459992,#00E400,17,优,0.6,优,#00E400,#00E400,330781001,优,#00E400,金华市,#00E400,优,28,15,#00E400,17,2026-09-10 23:00:00
20,良,330681,99,29.726389,优,--,24,20,119,优,#00E400,#00E400,8,青少年宫,#FFFF00,31,优,优,优,330600,#00E400,120.199722,#00E400,12,优,0.4,优,#00E400,#00E400,330681002,优,#00E400,绍兴市,#00E400,优,16,12,#00E400,21,2026-09-10 23:00:00
21,良,330212,83,29.7736,优,--,39,16,132,优,#00E400,#00E400,4,钱湖水厂,#FFFF00,31,优,优,优,330200,#00E400,121.6330,#00E400,14,优,0.6,优,#00E400,#00E400,2013302120001,优,#00E400,宁波市,#00E400,优,31,16,#00E400,21,2026-09-10 23:00:00
22,良,330421,83,30.8307,优,--,32,21,114,优,#00E400,#00E400,13,气象观测台,#FFFF00,32,优,优,优,330400,#00E400,120.9356,#00E400,14,优,0.9,优,#00E400,#00E400,330421002,优,#00E400,嘉兴市,#00E400,优,32,12,#00E400,23,2026-09-10 23:00:00
23,良,330522,101,31.0263,优,--,20,17,126,优,#00E400,#00E400,7,龙山新区,#FFFF00,32,优,优,优,330500,#00E400,119.9046,#00E400,14,优,0.5,优,#00E400,#00E400,330522002,优,#00E400,湖州市,#00E400,优,29,8,#00E400,23,2026-09-10 23:00:00
24,优,331127,65,27.9772,优,--,27,15,91,优,#00E400,#00E400,5,景宁县政府,#00E400,32,优,优,优,331100,#00E400,119.6311,#00E400,18,优,0.7,优,#00E400,#00E400,331127002,优,#00E400,丽水市,#00E400,优,32,16,#00E400,23,2026-09-10 23:00:00
25,良,330483,101,30.7369,优,--,28,17,132,优,#00E400,#00E400,10,植材小学,#FFFF00,32,优,优,优,330400,#00E400,120.4902,#00E400,13,优,0.7,优,#00E400,#00E400,330483509,优,#00E400,嘉兴市,#00E400,优,31,11,#00E400,23,2026-09-10 23:00:00
26,良,330329,103,27.5438,优,--,26,5,102,优,#00E400,#00E400,8,泰顺实验中学,#FFFF00,33,优,优,优,330300,#00E400,119.716111,#00E400,12,优,0.4,优,#00E400,#00E400,330329002,优,#00E400,温州市,#00E400,优,24,15,#00E400,27,2026-09-10 23:00:00
27,良,330781,80,29.229931,优,--,27,18,111,优,#00E400,#00E400,7,兰溪八中,#FFFF00,33,优,优,优,330700,#00E400,119.475172,#00E400,20,优,0.6,优,#00E400,#00E400,330781002,优,#00E400,金华市,#00E400,优,33,15,#00E400,27,2026-09-10 23:00:00
28,优,330824,105,29.1478,优,--,24,6,99,优,#00E400,#00E400,7,开化监测大楼,#00E400,33,优,优,优,330800,#00E400,118.4108,#00E400,10,优,0.6,优,#00E400,#00E400,330824002,优,#00E400,衢州市,#00E400,优,21,13,#00E400,27,2026-09-10 23:00:00
29,良,330681,96,29.7257,优,--,37,19,109,优,#00E400,#00E400,7,城新小学,#FFFF00,34,优,优,优,330600,#00E400,120.272,#00E400,16,优,0.5,优,#00E400,#00E400,330681505,优,#00E400,绍兴市,#00E400,优,34,15,#00E400,30,2026-09-10 23:00:00
30,良,330182,84,29.4638,优,--,28,18,108,优,#00E400,#00E400,4,第二中学,#FFFF00,34,优,优,优,330100,#00E400,119.2821,#00E400,19,优,0.6,优,#00E400,#00E400,330182002,优,#00E400,杭州市,#00E400,优,34,14,#00E400,30,2026-09-10 23:00:00
31,良,330522,101,31.0143,优,--,21,18,126,优,#00E400,#00E400,6,职教中心,#FFFF00,34,优,优,优,330500,#00E400,119.8935,#00E400,19,优,0.5,优,#00E400,#00E400,330522001,优,#00E400,湖州市,#00E400,优,34,8,#00E400,30,2026-09-10 23:00:00
