,O3H8_level,regioncode,O3,latitude,CO_level,SYWRW,PM10H24,NO2,O3H8,O3_level,PM10_color,PM25_color,SO2,sitename,O3H8_color,AQI,NO2_level,AQI_level,PM10H24_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,PM25H24_color,sitecode,PM25H24_level,AQI_color,districtname,O3_color,SO2_level,PM10,PM25H24,PM10H24_color,sort,time
0,良,331127,74,28.002222,优,--,30,12,104,优,#00E400,#00E400,4,红星小学,#FFFF00,24,优,优,优,331100,#00E400,119.636389,#00E400,13,优,0.6,优,#00E400,#00E400,331127003,优,#00E400,丽水市,#00E400,优,24,17,#00E400,1,2026-09-10 21:00:00
1,优,330922,80,30.7269,优,--,23,4,92,优,#00E400,#00E400,7,嵊泗菜园,#00E400,25,优,优,优,330900,#00E400,122.4464,#00E400,8,优,0.5,优,#00E400,#00E400,330922001,优,#00E400,舟山市,#00E400,优,16,9,#00E400,2,2026-09-10 21:00:00
2,良,330921,80,30.2669,优,--,32,18,110,优,#00E400,#00E400,6,岱山环保大楼,#FFFF00,25,优,优,优,330900,#00E400,122.2199,#00E400,8,优,0.6,优,#00E400,#00E400,330921001,优,#00E400,舟山市,#00E400,优,19,13,#00E400,2,2026-09-10 21:00:00
3,良,330921,79,30.2517,优,--,33,12,118,优,#00E400,#00E400,8,岱山高亭,#FFFF00,25,优,优,优,330900,#00E400,122.1958,#00E400,9,优,0.6,优,#00E400,#00E400,330921002,优,#00E400,舟山市,#00E400,优,19,14,#00E400,2,2026-09-10 21:00:00
4,优,331181,74,28.076,优,--,27,8,93,优,#00E400,#00E400,9,粮食大楼,#00E400,25,优,优,优,331100,#00E400,119.1217,#00E400,17,优,0.5,优,#00E400,#00E400,331181002,优,#00E400,丽水市,#00E400,优,25,16,#00E400,2,2026-09-10 21:00:00
5,优,331125,81,28.1173,优,--,23,13,99,优,#00E400,#00E400,5,云和监测楼,#00E400,26,优,优,优,331100,#00E400,119.5626,#00E400,12,优,0.4,优,#00E400,#00E400,331125001,优,#00E400,丽水市,#00E400,优,22,13,#00E400,6,2026-09-10 21:00:00
6,优,330329,84,27.557,优,--,26,9,92,优,#00E400,#00E400,6,罗阳,#00E400,27,优,优,优,330300,#00E400,119.7084,#00E400,13,优,0.5,优,#00E400,#00E400,330329001,优,#00E400,温州市,#00E400,优,27,17,#00E400,7,2026-09-10 21:00:00
7,良,330824,84,29.1478,优,--,25,4,103,优,#00E400,#00E400,7,开化监测大楼,#FFFF00,27,优,优,优,330800,#00E400,118.4108,#00E400,9,优,0.6,优,#00E400,#00E400,330824002,优,#00E400,衢州市,#00E400,优,19,14,#00E400,7,2026-09-10 21:00:00
8,优,330324,85,28.044335,优,--,31,11,98,优,#00E400,#00E400,6,瓯北,#00E400,28,优,优,优,330300,#00E400,120.654963,#00E400,16,优,0.5,优,#00E400,#00E400,330324002,优,#00E400,温州市,#00E400,优,28,17,#00E400,9,2026-09-10 21:00:00
9,优,331024,95,28.7403,优,--,24,11,98,优,#00E400,#00E400,7,新生中学,#00E400,30,优,优,优,331000,#00E400,120.4728,#00E400,20,优,0.5,优,#00E400,#00E400,331024002,优,#00E400,台州市,#00E400,优,29,13,#00E400,10,2026-09-10 21:00:00
