site,city,AQI,SO₂,NO₂,O₃,PM₁₀,PM₂.₅,CO,O₃-8h,PM₁₀-24h,PM₂.₅-24h,time
云和三中,丽水市,35,8,14,69,35,17,0.6,72,46,28,2026-09-10 07:00:00
信访大楼,丽水市,24,7,27,62,24,12,0.6,78,37,21,2026-09-10 07:00:00
松阳监测楼,丽水市,33,5,26,60,33,18,0.6,86,31,20,2026-09-10 07:00:00
庆元气象局,丽水市,30,6,11,49,29,21,0.6,62,26,17,2026-09-10 07:00:00
云和监测楼,丽水市,26,6,13,58,26,14,0.5,73,29,18,2026-09-10 07:00:00
遂昌中学,丽水市,34,8,17,40,34,20,0.7,63,32,19,2026-09-10 07:00:00
庆元监测楼,丽水市,32,5,12,44,30,22,0.8,58,23,15,2026-09-10 07:00:00
缙云中学,丽水市,27,6,23,69,27,13,0.7,80,41,23,2026-09-10 07:00:00
红星小学,丽水市,31,5,14,73,31,15,0.6,94,36,23,2026-09-10 07:00:00
景宁县政府,丽水市,26,5,10,80,26,15,0.5,98,30,21,2026-09-10 07:00:00
塔山小学,丽水市,37,4,27,51,37,21,0.5,46,44,28,2026-09-10 07:00:00
粮食大楼,丽水市,--,--,8,67,29,18,0.6,82,28,18,2026-09-10 07:00:00
青田中学,丽水市,32,5,8,37,32,22,0.6,53,39,27,2026-09-10 07:00:00
遂昌民政局,丽水市,31,8,24,39,31,18,0.7,61,30,19,2026-09-10 07:00:00
和平水厂,丽水市,28,6,14,85,28,14,0.4,92,33,19,2026-09-10 07:00:00
龙泉环保大楼,丽水市,35,9,10,55,35,20,0.6,82,31,20,2026-09-10 07:00:00
之江高级中学,台州市,25,4,8,62,25,10,0.6,71,31,16,2026-09-10 07:00:00
临海环保大楼,台州市,25,5,13,73,25,10,0.5,74,32,18,2026-09-10 07:00:00
心湖站,台州市,26,5,11,69,26,9,0.5,73,32,15,2026-09-10 07:00:00
巾山实验小学,台州市,26,6,14,65,26,10,0.4,66,37,21,2026-09-10 07:00:00
天台实验中学,台州市,32,8,15,64,32,13,0.5,65,36,19,2026-09-10 07:00:00
楚门中心小学,台州市,23,4,10,70,23,9,0.5,79,32,16,2026-09-10 07:00:00
温岭环监站,台州市,27,6,9,49,27,12,0.5,57,29,15,2026-09-10 07:00:00
育青中学,台州市,22,7,17,60,22,8,0.4,62,29,16,2026-09-10 07:00:00
新生中学,台州市,38,6,15,44,38,18,0.5,53,31,20,2026-09-10 07:00:00
三门环监楼,台州市,28,4,13,69,28,12,0.5,75,29,15,2026-09-10 07:00:00
仙居环监站,台州市,31,8,14,69,31,20,0.5,76,34,19,2026-09-10 07:00:00
玉环环监站,台州市,26,3,9,64,26,13,0.6,78,32,17,2026-09-10 07:00:00
陆家桥村,嘉兴市,30,9,31,41,30,14,0.5,56,27,12,2026-09-10 07:00:00
平湖幼儿园,嘉兴市,30,10,23,51,30,13,0.5,60,26,11,2026-09-10 07:00:00
硖石街道,嘉兴市,28,7,16,64,28,11,0.5,61,29,12,2026-09-10 07:00:00
文化中心,嘉兴市,--,--,19,58,29,11,0.6,61,31,13,2026-09-10 07:00:00
振东新六中站,嘉兴市,35,7,24,59,35,12,0.7,65,31,13,2026-09-10 07:00:00
胜利社区,嘉兴市,41,7,20,58,41,16,0.5,58,30,14,2026-09-10 07:00:00
嘉善监测大楼,嘉兴市,38,6,34,53,38,15,0.7,62,26,11,2026-09-10 07:00:00
海宁监测大楼,嘉兴市,38,6,27,43,38,16,0.4,51,31,14,2026-09-10 07:00:00
高级中学,嘉兴市,36,7,31,56,36,12,0.5,63,31,12,2026-09-10 07:00:00
植材小学,嘉兴市,22,9,19,66,22,7,0.7,69,25,11,2026-09-10 07:00:00
海盐商贸学校,嘉兴市,31,5,35,44,31,12,0.6,53,26,11,2026-09-10 07:00:00
茅盾小学,嘉兴市,33,5,33,56,33,14,0.5,64,32,12,2026-09-10 07:00:00
气象观测台,嘉兴市,29,12,36,50,29,9,0.7,62,30,10,2026-09-10 07:00:00
钱湖水厂,宁波市,30,5,19,57,30,10,0.6,67,31,12,2026-09-10 07:00:00
慈溪环保大楼,宁波市,34,4,25,54,34,13,0.6,66,32,14,2026-09-10 07:00:00
石浦新港小学,宁波市,27,8,11,72,27,8,0.5,78,32,13,2026-09-10 07:00:00
宁海城南站,宁波市,27,6,10,76,27,9,0.4,74,43,15,2026-09-10 07:00:00
大桥市场,宁波市,31,8,12,67,31,13,0.6,68,36,19,2026-09-10 07:00:00
宁海水利局,宁波市,25,5,12,74,25,10,0.4,74,34,19,2026-09-10 07:00:00
姚江小学,宁波市,30,7,36,33,30,18,0.6,57,26,14,2026-09-10 07:00:00
文峰小学,宁波市,28,8,17,63,28,11,0.7,69,28,12,2026-09-10 07:00:00
龙山公园,宁波市,33,6,26,43,33,13,0.5,62,29,13,2026-09-10 07:00:00
慈溪实验小学,宁波市,39,5,21,55,39,15,0.6,67,33,15,2026-09-10 07:00:00
奉化教育局,宁波市,26,9,12,65,26,11,0.5,67,30,14,2026-09-10 07:00:00
溪口政府大楼,宁波市,42,5,23,33,42,21,0.6,57,32,15,2026-09-10 07:00:00
第二中学,杭州市,31,4,16,64,31,17,0.7,70,34,21,2026-09-10 07:00:00
海辰小学,杭州市,29,7,16,57,29,11,0.7,64,31,14,2026-09-10 07:00:00
桐庐江南,杭州市,30,7,19,57,30,12,0.7,68,34,18,2026-09-10 07:00:00
建德监测大楼,杭州市,29,8,9,51,29,15,0.7,68,32,20,2026-09-10 07:00:00
桐庐江北,杭州市,25,8,18,53,25,10,0.8,72,34,18,2026-09-10 07:00:00
老年活动中心,杭州市,27,7,7,70,27,14,0.5,89,28,18,2026-09-10 07:00:00
淳安环保大楼,杭州市,23,7,9,66,23,13,0.6,86,28,18,2026-09-10 07:00:00
瓯北,温州市,30,8,26,51,30,17,0.6,70,32,19,2026-09-10 07:00:00
花园桥,温州市,26,9,14,63,26,15,0.5,84,27,14,2026-09-10 07:00:00
平阳监测站,温州市,26,9,5,72,26,14,0.6,76,33,20,2026-09-10 07:00:00
大峃,温州市,42,6,19,28,42,20,0.4,40,46,24,2026-09-10 07:00:00
柳市,温州市,29,4,9,73,29,14,0.5,90,34,18,2026-09-10 07:00:00
泰顺实验中学,温州市,34,8,9,78,34,20,0.6,100,29,18,2026-09-10 07:00:00
灵溪,温州市,34,7,12,30,34,22,0.5,44,33,20,2026-09-10 07:00:00
文成中学,温州市,28,8,8,47,28,15,0.6,66,32,19,2026-09-10 07:00:00
龙港实验中学,温州市,41,7,22,72,41,24,0.5,91,38,21,2026-09-10 07:00:00
洞头气象局,温州市,27,9,9,74,27,10,0.4,85,35,16,2026-09-10 07:00:00
上塘,温州市,25,5,15,45,25,12,0.6,72,32,23,2026-09-10 07:00:00
昆阳镇政府,温州市,36,6,30,57,36,22,0.7,92,39,21,2026-09-10 07:00:00
罗阳,温州市,36,6,13,70,33,25,0.7,83,28,19,2026-09-10 07:00:00
苍南中学,温州市,36,9,19,28,36,21,0.6,46,37,20,2026-09-10 07:00:00
龙港,温州市,40,7,22,66,40,23,0.6,85,42,22,2026-09-10 07:00:00
乐成,温州市,27,6,19,50,27,13,0.5,76,28,18,2026-09-10 07:00:00
安阳新区,温州市,25,9,13,77,19,11,0.4,98,21,13,2026-09-10 07:00:00
龙山新区,湖州市,22,8,13,69,18,8,0.5,70,24,11,2026-09-10 07:00:00
地信科创园,湖州市,33,7,17,60,33,15,0.6,68,32,14,2026-09-10 07:00:00
职教中心,湖州市,21,7,14,67,19,5,0.6,68,21,8,2026-09-10 07:00:00
安吉实验小学,湖州市,21,7,26,23,21,13,0.4,57,32,18,2026-09-10 07:00:00
安吉城东,湖州市,14,6,12,37,14,4,0.5,55,26,16,2026-09-10 07:00:00
春晖小学,湖州市,29,7,19,54,29,12,0.6,58,31,14,2026-09-10 07:00:00
丽湖小区,绍兴市,24,8,13,75,23,7,0.6,78,29,15,2026-09-10 07:00:00
青少年宫,绍兴市,15,8,29,39,6,6,0.5,60,28,18,2026-09-10 07:00:00
城东站,绍兴市,27,4,14,59,27,12,0.4,67,29,15,2026-09-10 07:00:00
杨树畈,绍兴市,22,3,11,57,22,5,0.5,64,23,13,2026-09-10 07:00:00
城新小学,绍兴市,31,7,21,44,31,11,0.4,59,32,14,2026-09-10 07:00:00
马寅初初中,绍兴市,33,6,19,56,33,13,0.7,66,30,15,2026-09-10 07:00:00
钟楼站,绍兴市,31,5,13,58,31,11,0.4,65,32,16,2026-09-10 07:00:00
嵊泗菜园,舟山市,26,7,6,74,26,9,0.5,77,26,9,2026-09-10 07:00:00
岱山环保大楼,舟山市,34,7,22,64,34,13,0.7,73,28,11,2026-09-10 07:00:00
岱山高亭,舟山市,34,9,15,65,34,16,0.7,74,30,12,2026-09-10 07:00:00
人民医院,衢州市,38,6,13,69,38,21,0.7,87,40,22,2026-09-10 07:00:00
龙游二高,衢州市,30,7,16,61,30,11,0.5,78,36,19,2026-09-10 07:00:00
开化气象局,衢州市,30,6,10,72,30,14,0.7,77,29,16,2026-09-10 07:00:00
衢州三中（市）,衢州市,39,7,19,51,39,18,0.6,78,32,20,2026-09-10 07:00:00
建设大楼,衢州市,26,7,13,71,26,11,0.6,90,32,16,2026-09-10 07:00:00
常山环保大楼,衢州市,39,4,22,66,39,22,0.6,87,34,20,2026-09-10 07:00:00
江山环保大楼,衢州市,43,6,17,51,43,23,0.9,72,47,24,2026-09-10 07:00:00
图书馆大楼,衢州市,34,4,28,68,34,20,0.6,92,33,19,2026-09-10 07:00:00
开化监测大楼,衢州市,48,7,29,37,48,32,0.7,67,26,16,2026-09-10 07:00:00
儿童公园,金华市,27,7,12,69,27,7,0.6,72,36,16,2026-09-10 07:00:00
浦江实验中学,金华市,18,5,17,45,18,6,0.6,63,28,17,2026-09-10 07:00:00
第五中学,金华市,27,7,14,62,27,6,0.6,65,36,13,2026-09-10 07:00:00
国税大楼,金华市,72,7,20,29,80,13,0.6,--,37,22,2026-09-10 07:00:00
兰溪八中,金华市,26,8,17,47,26,13,0.6,62,36,23,2026-09-10 07:00:00
永康一中,金华市,20,9,13,63,17,7,0.7,70,33,20,2026-09-10 07:00:00
武义北岭幼儿园,金华市,27,8,22,60,27,14,0.5,73,33,18,2026-09-10 07:00:00
西城供电所,金华市,30,7,15,49,30,14,0.5,61,--,--,2026-09-10 07:00:00
南园初中,金华市,21,6,18,26,21,10,0.6,35,33,27,2026-09-10 07:00:00
广厦学院,金华市,32,9,13,64,32,9,0.6,65,36,14,2026-09-10 07:00:00
武义县政府,金华市,27,9,20,58,27,5,0.6,77,34,18,2026-09-10 07:00:00
兰溪监测站,金华市,23,8,15,60,23,13,0.7,72,34,21,2026-09-10 07:00:00
东阳环保大楼,金华市,24,8,8,74,15,4,0.7,72,28,14,2026-09-10 07:00:00
浦江中学,金华市,33,8,22,39,33,5,0.5,56,35,16,2026-09-10 07:00:00
江东,金华市,20,6,12,63,19,5,0.6,66,33,14,2026-09-10 07:00:00
北苑,金华市,21,5,13,61,21,9,0.5,67,31,16,2026-09-10 07:00:00
