,O3,latitude,CO_level,SYWRW,NO2,PM10_color,O3_level,PM25_color,SO2,sitename,AQI,NO2_level,AQI_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,sitecode,AQI_color,districtname,O3_color,SO2_level,PM10,time
0,16,30.28,优,--,30,#00E400,优,#00E400,6,杭州市,38,优,优,330100,#00E400,120.15,#00E400,21,优,0.7,优,#00E400,330100,#00E400,杭州市,#00E400,优,38,2026-05-26 02:00:00
1,44,29.88,优,--,24,#00E400,优,#00E400,7,宁波市,31,优,优,330200,#00E400,121.55,#00E400,19,优,0.5,优,#00E400,330200,#00E400,宁波市,#00E400,优,31,2026-05-26 02:00:00
2,12,28,优,--,39,#00E400,优,#00E400,5,温州市,47,优,优,330300,#00E400,120.7,#00E400,23,优,0.4,优,#00E400,330300,#00E400,温州市,#00E400,优,47,2026-05-26 02:00:00
3,51,30.75,优,PM₂.₅,25,#00E400,优,#FFFF00,7,嘉兴市,70,优,良,330400,#00E400,120.75,#00E400,45,优,0.8,良,#00E400,330400,#FFFF00,嘉兴市,#00E400,优,48,2026-05-26 02:00:00
4,62,30.9,优,PM₂.₅,19,#FFFF00,优,#FFFF00,6,湖州市,92,优,良,330500,#00E400,120.08,#00E400,56,良,0.6,良,#00E400,330500,#FFFF00,湖州市,#00E400,优,56,2026-05-26 02:00:00
5,37,30,优,--,16,#00E400,优,#00E400,6,绍兴市,20,优,优,330600,#00E400,120.57,#00E400,11,优,0.5,优,#00E400,330600,#00E400,绍兴市,#00E400,优,20,2026-05-26 02:00:00
6,12,29.08,优,--,32,#00E400,优,#00E400,2,金华市,38,优,优,330700,#00E400,119.65,#00E400,21,优,0.6,优,#00E400,330700,#00E400,金华市,#00E400,优,38,2026-05-26 02:00:00
7,18,28.93,优,--,32,#00E400,优,#00E400,5,衢州市,36,优,优,330800,#00E400,118.87,#00E400,22,优,0.6,优,#00E400,330800,#00E400,衢州市,#00E400,优,36,2026-05-26 02:00:00
8,28,30,优,PM₂.₅,30,#00E400,优,#FFFF00,6,舟山市,58,优,良,330900,#00E400,122.2,#00E400,39,优,0.6,良,#00E400,330900,#FFFF00,舟山市,#00E400,优,41,2026-05-26 02:00:00
9,18,28.68,优,--,12,#00E400,优,#00E400,4,台州市,26,优,优,331000,#00E400,121.43,#00E400,13,优,0.5,优,#00E400,331000,#00E400,台州市,#00E400,优,26,2026-05-26 02:00:00
10,2,28.45,优,--,14,#00E400,优,#00E400,4,丽水市,28,优,优,331100,#00E400,119.92,#00E400,14,优,0.5,优,#00E400,331100,#00E400,丽水市,#00E400,优,28,2026-05-26 02:00:00
