site,city,AQI,SO₂,NO₂,O₃,PM₁₀,PM₂.₅,CO,O₃-8h,PM₁₀-24h,PM₂.₅-24h,time
庆元气象局,丽水市,--,5,--,62,30,16,0.4,23,25,14,2026-07-22 11:00:00
遂昌民政局,丽水市,26,9,17,38,26,11,0.7,13,20,10,2026-07-22 11:00:00
信访大楼,丽水市,26,6,12,74,26,13,0.6,45,15,9,2026-07-22 11:00:00
塔山小学,丽水市,33,5,12,80,33,19,0.5,31,25,12,2026-07-22 11:00:00
遂昌中学,丽水市,33,7,19,20,33,12,0.8,10,21,10,2026-07-22 11:00:00
景宁县政府,丽水市,34,4,4,49,34,17,0.4,18,28,15,2026-07-22 11:00:00
云和监测楼,丽水市,25,7,11,50,25,15,0.5,17,21,12,2026-07-22 11:00:00
松阳监测楼,丽水市,36,4,25,35,36,19,0.6,27,21,14,2026-07-22 11:00:00
粮食大楼,丽水市,27,8,8,68,27,17,0.5,19,25,13,2026-07-22 11:00:00
青田中学,丽水市,38,10,18,79,38,17,0.5,26,27,13,2026-07-22 11:00:00
庆元监测楼,丽水市,24,4,4,61,24,15,0.6,24,24,14,2026-07-22 11:00:00
缙云中学,丽水市,23,6,18,73,23,13,0.6,48,14,8,2026-07-22 11:00:00
云和三中,丽水市,40,7,8,57,40,19,0.5,18,35,17,2026-07-22 11:00:00
和平水厂,丽水市,43,5,35,44,43,29,0.6,34,25,15,2026-07-22 11:00:00
红星小学,丽水市,--,--,--,45,32,16,0.5,14,28,14,2026-07-22 11:00:00
龙泉环保大楼,丽水市,32,8,7,68,32,20,0.5,19,28,16,2026-07-22 11:00:00
育青中学,台州市,23,6,9,64,23,9,0.5,32,15,9,2026-07-22 11:00:00
玉环环监站,台州市,41,2,6,74,41,25,0.5,53,35,21,2026-07-22 11:00:00
心湖站,台州市,38,5,6,65,38,18,0.6,36,24,13,2026-07-22 11:00:00
临海环保大楼,台州市,41,7,16,83,41,21,0.5,40,20,11,2026-07-22 11:00:00
巾山实验小学,台州市,41,6,12,78,41,18,0.5,35,21,12,2026-07-22 11:00:00
新生中学,台州市,25,6,6,79,17,13,0.5,46,12,7,2026-07-22 11:00:00
温岭环监站,台州市,48,6,8,79,48,33,0.4,52,39,--,2026-07-22 11:00:00
之江高级中学,台州市,--,4,4,90,50,29,--,58,37,21,2026-07-22 11:00:00
楚门中心小学,台州市,59,3,9,87,62,31,0.6,59,46,24,2026-07-22 11:00:00
三门环监楼,台州市,31,4,7,69,31,20,0.6,42,23,13,2026-07-22 11:00:00
仙居环监站,台州市,--,7,8,89,--,--,--,53,14,5,2026-07-22 11:00:00
天台实验中学,台州市,23,5,8,73,14,8,0.5,37,--,--,2026-07-22 11:00:00
硖石街道,嘉兴市,32,9,11,76,32,20,0.6,32,24,16,2026-07-22 11:00:00
高级中学,嘉兴市,37,7,14,95,37,23,0.5,57,27,18,2026-07-22 11:00:00
海盐商贸学校,嘉兴市,33,6,17,98,33,20,0.6,55,28,18,2026-07-22 11:00:00
振东新六中站,嘉兴市,30,6,24,81,28,21,0.5,45,29,18,2026-07-22 11:00:00
平湖幼儿园,嘉兴市,--,--,12,99,23,16,0.4,49,16,11,2026-07-22 11:00:00
茅盾小学,嘉兴市,33,6,26,76,33,17,0.4,38,24,15,2026-07-22 11:00:00
胜利社区,嘉兴市,28,4,14,81,28,17,0.7,40,26,16,2026-07-22 11:00:00
文化中心,嘉兴市,33,9,15,71,33,21,0.7,31,20,15,2026-07-22 11:00:00
海宁监测大楼,嘉兴市,28,6,15,81,27,19,0.3,39,27,18,2026-07-22 11:00:00
嘉善监测大楼,嘉兴市,25,7,19,79,24,16,0.6,49,21,16,2026-07-22 11:00:00
气象观测台,嘉兴市,25,9,13,79,20,12,0.6,41,18,9,2026-07-22 11:00:00
植材小学,嘉兴市,26,5,19,82,22,16,0.8,40,16,10,2026-07-22 11:00:00
陆家桥村,嘉兴市,27,7,11,85,18,15,0.6,47,20,18,2026-07-22 11:00:00
钱湖水厂,宁波市,28,6,5,87,23,15,0.8,43,26,14,2026-07-22 11:00:00
宁海城南站,宁波市,--,6,7,82,--,20,0.4,44,23,15,2026-07-22 11:00:00
文峰小学,宁波市,49,9,8,84,49,26,0.6,60,30,16,2026-07-22 11:00:00
石浦新港小学,宁波市,44,9,4,91,44,18,0.4,64,36,18,2026-07-22 11:00:00
姚江小学,宁波市,41,5,17,89,41,21,0.7,32,21,12,2026-07-22 11:00:00
