site,city,AQI,SO₂,NO₂,O₃,PM₁₀,PM₂.₅,CO,O₃-8h,PM₁₀-24h,PM₂.₅-24h,time
粮食大楼,丽水市,23,9,6,31,23,14,0.4,41,18,12,2026-09-05 01:00:00
缙云中学,丽水市,24,5,19,76,18,11,0.6,84,34,19,2026-09-05 01:00:00
庆元气象局,丽水市,21,6,5,30,21,13,0.5,46,16,10,2026-09-05 01:00:00
信访大楼,丽水市,26,6,18,81,20,13,0.6,96,29,16,2026-09-05 01:00:00
庆元监测楼,丽水市,19,5,6,24,19,11,0.5,34,18,12,2026-09-05 01:00:00
和平水厂,丽水市,23,6,21,72,21,11,0.5,70,26,13,2026-09-05 01:00:00
云和三中,丽水市,37,7,16,25,37,18,0.4,23,36,16,2026-09-05 01:00:00
龙泉环保大楼,丽水市,30,9,6,30,30,16,0.4,44,24,14,2026-09-05 01:00:00
松阳监测楼,丽水市,21,4,22,67,17,11,0.5,66,24,14,2026-09-05 01:00:00
景宁县政府,丽水市,27,4,11,26,27,16,0.5,27,23,12,2026-09-05 01:00:00
青田中学,丽水市,28,4,9,73,28,16,0.5,69,24,13,2026-09-05 01:00:00
遂昌中学,丽水市,28,8,7,48,27,19,0.6,57,23,11,2026-09-05 01:00:00
遂昌民政局,丽水市,24,7,6,74,23,14,0.6,69,23,13,2026-09-05 01:00:00
塔山小学,丽水市,29,3,26,54,29,20,0.5,61,28,15,2026-09-05 01:00:00
红星小学,丽水市,33,4,7,58,33,16,0.4,30,29,12,2026-09-05 01:00:00
云和监测楼,丽水市,24,5,14,43,24,14,0.4,30,24,13,2026-09-05 01:00:00
心湖站,台州市,25,5,6,77,22,9,0.5,74,21,12,2026-09-05 01:00:00
新生中学,台州市,22,6,10,41,22,12,0.5,62,21,11,2026-09-05 01:00:00
仙居环监站,台州市,22,8,17,56,22,13,0.8,78,22,13,2026-09-05 01:00:00
天台实验中学,台州市,--,--,--,--,--,--,--,--,--,--,2026-09-05 01:00:00
三门环监楼,台州市,24,4,8,76,20,10,0.5,73,20,12,2026-09-05 01:00:00
玉环环监站,台州市,21,3,3,65,18,9,0.5,71,21,13,2026-09-05 01:00:00
临海环保大楼,台州市,20,5,11,64,17,10,0.5,70,19,12,2026-09-05 01:00:00
之江高级中学,台州市,19,4,6,59,18,10,0.3,67,22,15,2026-09-05 01:00:00
巾山实验小学,台州市,19,5,13,60,19,12,0.5,69,22,14,2026-09-05 01:00:00
育青中学,台州市,19,6,12,53,19,8,0.4,62,21,10,2026-09-05 01:00:00
楚门中心小学,台州市,--,3,7,67,19,9,--,73,24,15,2026-09-05 01:00:00
温岭环监站,台州市,21,6,8,57,21,11,0.2,57,24,12,2026-09-05 01:00:00
胜利社区,嘉兴市,36,6,12,73,36,17,0.6,83,34,17,2026-09-05 01:00:00
海盐商贸学校,嘉兴市,27,5,19,59,27,15,0.4,68,25,15,2026-09-05 01:00:00
高级中学,嘉兴市,26,6,18,61,25,18,0.5,68,27,14,2026-09-05 01:00:00
海宁监测大楼,嘉兴市,36,6,16,63,36,18,0.4,72,31,16,2026-09-05 01:00:00
陆家桥村,嘉兴市,25,8,12,73,25,14,0.5,77,23,13,2026-09-05 01:00:00
硖石街道,嘉兴市,29,7,12,63,29,18,0.6,77,28,17,2026-09-05 01:00:00
茅盾小学,嘉兴市,37,5,17,71,37,21,0.5,80,32,18,2026-09-05 01:00:00
平湖幼儿园,嘉兴市,25,8,8,75,25,13,0.4,79,22,12,2026-09-05 01:00:00
植材小学,嘉兴市,30,8,12,83,30,14,0.7,97,27,14,2026-09-05 01:00:00
文化中心,嘉兴市,38,9,14,62,38,20,0.7,78,32,17,2026-09-05 01:00:00
振东新六中站,嘉兴市,44,6,14,71,44,19,0.6,78,36,16,2026-09-05 01:00:00
嘉善监测大楼,嘉兴市,41,4,18,70,41,23,0.6,83,31,16,2026-09-05 01:00:00
气象观测台,嘉兴市,--,--,13,73,28,12,0.6,89,26,14,2026-09-05 01:00:00
慈溪实验小学,宁波市,27,4,7,86,22,10,0.6,88,26,12,2026-09-05 01:00:00
石浦新港小学,宁波市,28,8,6,88,28,11,0.5,80,28,15,2026-09-05 01:00:00
溪口政府大楼,宁波市,--,4,5,87,22,--,0.4,79,23,12,2026-09-05 01:00:00
姚江小学,宁波市,23,6,9,72,18,8,0.4,69,24,12,2026-09-05 01:00:00
慈溪环保大楼,宁波市,26,4,7,83,23,8,0.5,84,29,12,2026-09-05 01:00:00
宁海水利局,宁波市,29,5,8,90,28,15,0.5,80,25,15,2026-09-05 01:00:00
龙山公园,宁波市,24,5,8,76,17,9,0.4,72,24,13,2026-09-05 01:00:00
钱湖水厂,宁波市,29,4,7,92,25,9,0.7,86,27,13,2026-09-05 01:00:00
