,O3H8_level,regioncode,O3,latitude,CO_level,SYWRW,PM10H24,NO2,O3H8,O3_level,PM10_color,PM25_color,SO2,sitename,O3H8_color,AQI,NO2_level,AQI_level,PM10H24_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,PM25H24_color,sitecode,PM25H24_level,AQI_color,districtname,O3_color,SO2_level,PM10,PM25H24,PM10H24_color,sort,time
0,优,331125,54,28.1173,优,--,22,11,92,优,#00E400,#00E400,7,云和监测楼,#00E400,17,优,优,优,331100,#00E400,119.5626,#00E400,8,优,0.4,优,#00E400,#00E400,331125001,优,#00E400,丽水市,#00E400,优,17,11,#00E400,1,2026-06-11 20:00:00
1,优,331126,60,27.6211,优,--,17,7,81,优,#00E400,#00E400,5,庆元气象局,#00E400,19,优,优,优,331100,#00E400,119.0788,#00E400,11,优,0.5,优,#00E400,#00E400,331126002,优,#00E400,丽水市,#00E400,优,19,10,#00E400,2,2026-06-11 20:00:00
2,良,330727,68,29.039869,优,--,28,14,106,优,#00E400,#00E400,6,南园初中,#FFFF00,22,优,优,优,330700,#00E400,120.440622,#00E400,10,优,0.5,优,#00E400,#00E400,330727003,优,#00E400,金华市,#00E400,优,16,20,#00E400,3,2026-06-11 20:00:00
3,优,330329,73,27.557,优,--,15,10,92,优,#00E400,#00E400,5,罗阳,#00E400,23,优,优,优,330300,#00E400,119.7084,#00E400,12,优,0.4,优,#00E400,#00E400,330329001,优,#00E400,温州市,#00E400,优,23,8,#00E400,4,2026-06-11 20:00:00
4,良,331123,68,28.5991,优,--,21,19,125,优,#00E400,#00E400,6,遂昌民政局,#FFFF00,23,优,优,优,331100,#00E400,119.2622,#00E400,15,优,0.5,优,#00E400,#00E400,331123001,优,#00E400,丽水市,#00E400,优,23,13,#00E400,4,2026-06-11 20:00:00
5,良,331123,72,28.5839,优,--,21,11,126,优,#00E400,#00E400,7,遂昌中学,#FFFF00,23,优,优,优,331100,#00E400,119.2656,#00E400,15,优,0.5,优,#00E400,#00E400,331123002,优,#00E400,丽水市,#00E400,优,22,12,#00E400,4,2026-06-11 20:00:00
6,良,330727,75,29.051486,优,--,29,17,111,优,#00E400,#00E400,7,国税大楼,#FFFF00,24,优,优,优,330700,#00E400,120.438346,#00E400,7,优,0.4,优,#00E400,#00E400,330727002,优,#00E400,金华市,#00E400,优,12,20,#00E400,7,2026-06-11 20:00:00
7,优,331124,81,28.4505,优,--,21,18,99,优,#00E400,#00E400,6,松阳监测楼,#00E400,26,优,优,优,331100,#00E400,119.4799,#00E400,14,优,0.4,优,#00E400,#00E400,331124001,优,#00E400,丽水市,#00E400,优,22,12,#00E400,8,2026-06-11 20:00:00
8,优,331126,43,27.629585,优,--,17,17,80,优,#00E400,#00E400,5,庆元监测楼,#00E400,27,优,优,优,331100,#00E400,119.054809,#00E400,12,优,0.8,优,#00E400,#00E400,331126001,优,#00E400,丽水市,#00E400,优,27,7,#00E400,9,2026-06-11 20:00:00
9,良,330382,58,28.1209,优,--,30,24,102,优,#00E400,#00E400,3,乐成,#FFFF00,28,优,优,优,330300,#00E400,120.9659,#00E400,17,优,0.6,优,#00E400,#00E400,330382001,优,#00E400,温州市,#00E400,优,28,17,#00E400,10,2026-06-11 20:00:00
10,优,331124,89,28.4516,优,--,24,12,100,优,#00E400,#00E400,7,和平水厂,#00E400,28,优,优,优,331100,#00E400,119.4699,#00E400,13,优,0.5,优,#00E400,#00E400,331124002,优,#00E400,丽水市,#00E400,优,24,13,#00E400,10,2026-06-11 20:00:00
11,良,330305,92,27.8342,优,--,24,14,104,优,#00E400,#00E400,8,洞头气象局,#FFFF00,29,优,优,优,330300,#00E400,121.1502,#00E400,15,优,0.6,优,#00E400,#00E400,330305001,优,#00E400,温州市,#00E400,优,25,15,#00E400,12,2026-06-11 20:00:00
12,良,330381,90,27.782284,优,--,36,11,124,优,#00E400,#00E400,9,安阳新区,#FFFF00,29,优,优,优,330300,#00E400,120.650915,#00E400,17,优,0.5,优,#00E400,#00E400,330381002,优,#00E400,温州市,#00E400,优,20,29,#00E400,12,2026-06-11 20:00:00
13,良,331024,91,28.7403,优,--,17,20,116,优,#00E400,#00E400,6,新生中学,#FFFF00,29,优,优,优,331000,#00E400,120.4728,#00E400,14,优,0.5,优,#00E400,#00E400,331024002,优,#00E400,台州市,#00E400,优,24,11,#00E400,12,2026-06-11 20:00:00
14,良,331122,90,28.6574,优,--,24,20,109,优,#00E400,#00E400,7,缙云中学,#FFFF00,29,优,优,优,331100,#00E400,120.0696,#00E400,17,优,0.6,优,#00E400,#00E400,331122001,优,#00E400,丽水市,#00E400,优,24,14,#00E400,12,2026-06-11 20:00:00
15,优,330328,36,27.804722,优,--,28,9,57,优,#00E400,#00E400,9,文成中学,#00E400,30,优,优,优,330300,#00E400,120.077222,#00E400,16,优,0.3,优,#00E400,#00E400,330328002,优,#00E400,温州市,#00E400,优,30,13,#00E400,16,2026-06-11 20:00:00
