timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-05-16T2100,1196A,119.9524,31.7586,常州市,市监测站,NA,NA,68,45,8,7,NA,NA,127,126,17,11,8,10,0.6,0.7
2026-05-16T2100,1200A,119.9351,31.703,常州市,武进监测站,,33,33,27,8,6,95,95,127,123,10,6,6,3,0.5,0.5
2026-05-16T2100,3002A,119.9701,31.813,常州市,行政中心,,36,36,36,6,10,87,87,127,121,20,16,5,6,0.2,0.2
2026-05-16T2100,3003A,120.0434,31.7726,常州市,经开区,,42,42,39,6,8,88,88,130,123,22,22,3,4,0.6,0.6
2026-05-16T2100,3010A,119.8919,31.7892,常州市,钟楼,,39,39,38,7,6,105,105,135,132,16,15,8,8,0.5,0.2
2026-05-16T2100,3429A,119.8595,31.706,常州市,武进经发区,,40,40,30,14,12,97,97,128,125,18,13,7,6,0.5,0.5
2026-05-16T2100,3430A,119.5812,31.7256,常州市,金坛城区,,33,24,22,14,13,105,105,135,132,6,3,6,6,0.5,0.5
2026-05-16T2100,4089A,119.9551,31.863,常州市,崇义南街5-H号,,34,34,39,6,9,94,94,129,124,8,8,7,7,0.5,0.5
2026-05-16T2100,2220A,120.4318,41.588,朝阳市,西梁,,39,36,49,27,18,102,102,125,124,12,14,8,9,0.4,0.5
2026-05-16T2100,2221A,120.452,41.565,朝阳市,河畔小区,,35,24,46,14,15,109,109,129,129,11,12,8,8,0.3,0.4
2026-05-16T2100,2222A,120.4176,41.5648,朝阳市,八里堡,,33,31,59,23,19,101,101,128,126,11,14,6,7,0.4,0.4
2026-05-16T2100,3026A,116.6179,23.6608,潮州市,市政府,,38,37,21,26,10,45,45,81,70,19,7,6,4,0.8,0.5
2026-05-16T2100,4036A,116.646,23.676,潮州市,金山,,18,16,15,12,9,38,38,75,65,8,7,2,3,0.4,0.3
2026-05-16T2100,2473A,113.0116,25.8228,郴州市,市职中,NA,NA,20,15,8,9,13,13,51,37,12,10,4,5,NA,0.2
2026-05-16T2100,2475A,113.0381,25.8074,郴州市,市审计局,,26,26,17,12,12,19,19,58,46,17,11,2,3,/,/
2026-05-16T2100,2476A,113.0348,25.7757,郴州市,市环保局,,16,NA,14,11,14,18,18,50,40,15,10,5,6,0.6,0.5
2026-05-16T2100,4252A,113.0138,25.8011,郴州市,好美居路49号,,16,16,17,3,6,34,34,55,45,17,12,7,6,/,/
2026-05-16T2100,1431A,103.9727,30.7242,成都市,金泉两河,,31,31,23,13,10,95,95,121,121,25,16,5,5,0.3,0.2
2026-05-16T2100,1432A,104.1423,30.6765,成都市,十里店,,38,38,19,15,12,81,81,114,112,20,13,4,4,0.4,0.3
2026-05-16T2100,1433A,104.0594,30.5765,成都市,三瓦窑,,38,38,23,15,17,73,73,119,117,35,18,2,2,0.5,0.4
2026-05-16T2100,1434A,104.1122,30.6306,成都市,沙河铺,NA,NA,29,21,13,14,NA,NA,106,106,27,16,2,3,0.6,0.5
2026-05-16T2100,2880A,104.0219,30.6561,成都市,大石西路,颗粒物(PM10),54,55,30,21,17,115,115,114,114,21,17,4,4,0.6,0.5
2026-05-16T2100,3136A,104.2724,30.559,成都市,龙泉驿区区政府,,25,NA,12,17,13,79,79,98,98,10,11,7,7,0.6,0.5
2026-05-16T2100,3357A,104.0028,30.6891,成都市,金博路,,42,42,19,21,15,114,114,121,121,23,19,5,5,0.7,0.6
2026-05-16T2100,3359A,104.056,30.5228,成都市,华阳,,29,22,20,14,14,92,92,125,125,14,12,3,2,0.4,0.4
2026-05-16T2100,3488A,104.387954,30.746684,成都市,青石路225号,,26,24,21,18,12,77,77,91,90,10,10,5,4,0.6,0.6
2026-05-16T2100,3489A,104.0788,30.4054,成都市,科学城,,29,29,18,17,12,78,78,108,107,9,10,5,5,0.5,0.5
2026-05-16T2100,4011A,103.8505,30.6946,成都市,光华大道三段,,35,26,24,18,12,110,110,118,118,16,8,3,3,0.5,0.4
2026-05-16T2100,4144A,104.3257,30.6406,成都市,八角井街185号,,39,39,24,19,12,72,72,94,93,14,14,5,5,0.7,0.7
2026-05-16T2100,4224A,104.2433276,30.53529463,成都市,鲸龙路1057号,,29,26,17,20,14,87,87,106,105,10,14,6,6,0.5,0.4
2026-05-16T2100,1062A,117.9531,40.908,承德市,铁路,,44,44,60,24,34,110,110,118,116,13,13,1,2,0.4,0.4
2026-05-16T2100,1063A,117.9397,40.9763,承德市,中国银行,颗粒物(PM10),52,52,55,34,35,114,114,120,117,7,8,1,2,0.4,0.5
2026-05-16T2100,4073A,117.9462,40.95,承德市,杏林街1号,,50,43,53,35,40,110,110,115,113,10,7,2,2,0.3,0.4
2026-05-16T2100,4274A,117.7994,40.9605,承德市,滨河大街98号,细颗粒物(PM2.5),60,58,45,40,35,120,120,126,124,5,4,2,2,0.6,0.5
2026-05-16T2100,2314A,117.4698,30.6617,池州市,池州学院,,36,36,19,23,11,82,82,108,100,19,14,4,4,0.5,0.5
2026-05-16T2100,2459A,112.628,26.8654,衡阳市,市委党校,,36,36,52,14,16,50,50,70,62,1,4,10,8,0.7,0.7
2026-05-16T2100,2460A,112.6007,26.8977,衡阳市,市监测站,,17,17,27,6,19,46,46,66,58,21,22,9,8,0.4,0.7
2026-05-16T2100,2461A,112.5658,26.9013,衡阳市,真空机电公司,,17,17,26,9,20,53,53,74,64,6,8,7,7,0.8,0.9
2026-05-16T2100,3399A,112.6703,26.8817,衡阳市,师范学院,,29,27,28,20,21,46,46,69,60,7,4,15,8,0.8,0.7
2026-05-16T2100,3038A,103.3757,23.3679,红河哈尼族彝族自治州,州图书馆,,36,36,27,22,21,91,91,97,93,6,5,4,4,0.4,0.3
2026-05-16T2100,4154A,103.401,23.3561,红河哈尼族彝族自治州,蒙自市朝阳路,,29,24,17,14,17,90,90,99,95,4,5,7,7,0.4,0.4
2026-05-16T2100,1090A,111.6506,40.7517,呼和浩特市,呼市一监,,22,NA,25,15,23,64,64,93,84,14,13,12,11,0.5,0.5
2026-05-16T2100,1094A,111.7516,40.8369,呼和浩特市,如意水处理厂,,23,14,30,11,24,73,73,109,88,14,14,7,7,0.7,0.7
2026-05-16T2100,1095A,111.727798,40.806187,呼和浩特市,二十九中,,30,NA,27,21,26,75,75,107,90,14,14,9,8,0.9,0.8
2026-05-16T2100,1097A,111.717,40.7617,呼和浩特市,化肥厂生活区,,32,NA,31,22,25,70,70,103,87,17,15,8,8,0.6,0.6
2026-05-16T2100,3699A,111.6519,40.8389,呼和浩特市,海东办,,25,NA,22,17,23,64,64,103,82,15,13,5,5,0.8,0.7
2026-05-16T2100,4275A,111.591512,40.827312,呼和浩特市,成吉思汗西街8号,,22,NA,23,15,22,60,60,91,75,20,25,6,5,0.5,0.5
2026-05-16T2100,4276A,111.6597,40.8077,呼和浩特市,公园东路75号,,25,NA,23,17,20,77,77,111,92,14,13,9,9,0.8,0.7
2026-05-16T2100,4277A,111.5427,40.7846,呼和浩特市,金海路35号,,32,NA,27,22,22,59,59,95,76,17,16,6,5,0.7,0.6
2026-05-16T2100,3061A,119.7511,49.1576,呼伦贝尔市,国华电力东,,28,28,21,9,9,69,69,83,79,10,6,4,4,0.3,0.3
2026-05-16T2100,4279A,119.7569,49.2222,呼伦贝尔市,伊敏大街东7号,,26,26,21,15,12,61,61,80,76,17,8,6,6,0.5,0.4
2026-05-16T2100,1250A,120.075,30.867,湖州市,城西水厂,,34,34,31,13,17,98,98,140,134,12,12,5,6,0.4,0.4
2026-05-16T2100,2873A,120.083,30.8929,湖州市,仁皇山新区,,35,35,31,14,17,89,89,129,124,12,10,6,6,0.3,0.3
2026-05-16T2100,2907A,120.1846,30.8592,湖州市,吴兴区站,颗粒物(PM10),64,69,43,15,16,81,81,128,119,14,11,6,6,0.2,0.3
2026-05-16T2100,3562A,120.4146,30.8538,湖州市,南浔区站,,28,28,28,12,16,78,78,125,115,11,10,7,8,0.5,0.5
2026-05-16T2100,1607A,120.904878,40.721091,葫芦岛市,龙港区,,35,NA,24,22,18,110,110,121,120,10,10,9,9,0.4,0.4
2026-05-16T2100,1608A,120.8382,40.7521,葫芦岛市,化工街,,39,39,30,25,18,102,102,116,115,20,17,6,5,0.4,0.3
2026-05-16T2100,1609A,120.8339,40.7078,葫芦岛市,新区,,33,31,26,23,19,100,100,116,114,9,11,9,10,0.5,0.5
2026-05-16T2100,1610A,120.8697,40.7679,葫芦岛市,东城区,,48,NA,29,33,22,108,108,120,119,21,15,10,10,0.6,0.5
