,O3H8_level,regioncode,O3,latitude,CO_level,SYWRW,PM10H24,NO2,O3H8,O3_level,PM10_color,PM25_color,SO2,sitename,O3H8_color,AQI,NO2_level,AQI_level,PM10H24_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,PM25H24_color,sitecode,PM25H24_level,AQI_color,districtname,O3_color,SO2_level,PM10,PM25H24,PM10H24_color,sort,time
0,优,331126,20,27.629585,优,--,22,6,45,优,#00E400,#00E400,5,庆元监测楼,#00E400,19,优,优,优,331100,#00E400,119.054809,#00E400,13,优,0.6,优,#00E400,#00E400,331126001,优,#00E400,丽水市,#00E400,优,18,16,#00E400,1,2026-09-25
1,优,330326,66,27.6593,优,--,26,6,76,优,#00E400,#00E400,6,平阳监测站,#00E400,21,优,优,优,330300,#00E400,120.5705,#00E400,9,优,0.4,优,#00E400,#00E400,330326001,优,#00E400,温州市,#00E400,优,20,13,#00E400,2,2026-09-25
2,优,331126,26,27.6211,优,--,23,4,50,优,#00E400,#00E400,7,庆元气象局,#00E400,22,优,优,优,331100,#00E400,119.0788,#00E400,15,优,0.6,优,#00E400,#00E400,331126002,优,#00E400,丽水市,#00E400,优,21,17,#00E400,3,2026-09-25
3,优,330382,68,28.1209,优,--,27,9,93,优,#00E400,#00E400,6,乐成,#00E400,23,优,优,优,330300,#00E400,120.9659,#00E400,13,优,0.5,优,#00E400,#00E400,330382001,优,#00E400,温州市,#00E400,优,23,14,#00E400,4,2026-09-25
4,优,331081,73,28.37558,优,--,27,7,78,优,#00E400,#00E400,5,温岭环监站,#00E400,23,优,优,优,331000,#00E400,121.36579,#00E400,9,优,0.3,优,#00E400,#00E400,331081001,优,#00E400,台州市,#00E400,优,18,13,#00E400,4,2026-09-25
5,优,330324,76,28.044335,优,--,36,12,91,优,#00E400,#00E400,6,瓯北,#00E400,24,优,优,优,330300,#00E400,120.654963,#00E400,9,优,0.5,优,#00E400,#00E400,330324002,优,#00E400,温州市,#00E400,优,23,18,#00E400,6,2026-09-25
6,优,330324,79,28.158269,优,--,40,15,98,优,#00E400,#00E400,5,上塘,#00E400,25,优,优,优,330300,#00E400,120.694244,#00E400,10,优,0.5,优,#00E400,#00E400,330324001,优,#00E400,温州市,#00E400,优,23,18,#00E400,7,2026-09-25
7,优,330329,75,27.557,优,--,29,8,64,优,#00E400,#00E400,6,罗阳,#00E400,25,优,优,优,330300,#00E400,119.7084,#00E400,17,优,0.4,优,#00E400,#00E400,330329001,优,#00E400,温州市,#00E400,优,25,22,#00E400,7,2026-09-25
8,优,330421,75,30.8307,优,--,29,8,88,优,#00E400,#00E400,10,气象观测台,#00E400,25,优,优,优,330400,#00E400,120.9356,#00E400,12,优,0.5,优,#00E400,#00E400,330421002,优,#00E400,嘉兴市,#00E400,优,25,12,#00E400,7,2026-09-25
9,良,330523,82,30.5974,优,--,29,16,113,优,#00E400,#00E400,7,安吉城东,#FFFF00,26,优,优,优,330500,#00E400,119.6953,#00E400,14,优,0.4,优,#00E400,#00E400,330523002,优,#00E400,湖州市,#00E400,优,21,21,#00E400,10,2026-09-25
