,O3H8_level,regioncode,O3,latitude,CO_level,SYWRW,PM10H24,NO2,O3H8,O3_level,PM10_color,PM25_color,SO2,sitename,O3H8_color,AQI,NO2_level,AQI_level,PM10H24_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,PM25H24_color,sitecode,PM25H24_level,AQI_color,districtname,O3_color,SO2_level,PM10,PM25H24,PM10H24_color,sort,time
0,优,331126,49,27.6211,优,--,22,4,45,优,#00E400,#00E400,7,庆元气象局,#00E400,16,优,优,优,331100,#00E400,119.0788,#00E400,10,优,0.7,优,#00E400,#00E400,331126002,优,#00E400,丽水市,#00E400,优,15,16,#00E400,1,2026-09-23 04:00:00
1,优,331126,30,27.629585,优,--,22,7,36,优,#00E400,#00E400,6,庆元监测楼,#00E400,18,优,优,优,331100,#00E400,119.054809,#00E400,12,优,0.6,优,#00E400,#00E400,331126001,优,#00E400,丽水市,#00E400,优,15,18,#00E400,2,2026-09-23 04:00:00
2,优,331081,54,28.39136,优,--,33,5,79,优,#00E400,#00E400,4,之江高级中学,#00E400,19,优,优,优,331000,#00E400,121.37696,#00E400,11,优,0.4,优,#00E400,#00E400,331081002,优,#00E400,台州市,#00E400,优,19,20,#00E400,3,2026-09-23 04:00:00
3,优,330328,58,27.804722,优,--,37,4,84,优,#00E400,#00E400,7,文成中学,#00E400,21,优,优,优,330300,#00E400,120.077222,#00E400,4,优,0.4,优,#00E400,#00E400,330328002,优,#00E400,温州市,#00E400,优,21,14,#00E400,4,2026-09-23 04:00:00
4,优,330922,66,30.7269,优,--,22,2,86,优,#00E400,#00E400,8,嵊泗菜园,#00E400,21,优,优,优,330900,#00E400,122.4464,#00E400,10,优,0.2,优,#00E400,#00E400,330922001,优,#00E400,舟山市,#00E400,优,20,13,#00E400,4,2026-09-23 04:00:00
5,优,330324,49,28.158269,优,--,44,23,64,优,#00E400,#00E400,5,上塘,#00E400,23,优,优,优,330300,#00E400,120.694244,#00E400,14,优,0.6,优,#00E400,#00E400,330324001,优,#00E400,温州市,#00E400,优,23,26,#00E400,6,2026-09-23 04:00:00
6,优,330921,70,30.2517,优,--,27,11,84,优,#00E400,#00E400,9,岱山高亭,#00E400,23,优,优,优,330900,#00E400,122.1958,#00E400,13,优,0.4,优,#00E400,#00E400,330921002,优,#00E400,舟山市,#00E400,优,23,14,#00E400,6,2026-09-23 04:00:00
7,优,330225,60,29.4767,优,--,25,9,82,优,#00E400,#00E400,8,文峰小学,#00E400,24,优,优,优,330200,#00E400,121.8864,#00E400,13,优,0.5,优,#00E400,#00E400,330225001,优,#00E400,宁波市,#00E400,优,24,13,#00E400,8,2026-09-23 04:00:00
8,优,331081,61,28.37558,优,--,31,9,76,优,#00E400,#00E400,6,温岭环监站,#00E400,24,优,优,优,331000,#00E400,121.36579,#00E400,15,优,0.4,优,#00E400,#00E400,331081001,优,#00E400,台州市,#00E400,优,24,19,#00E400,8,2026-09-23 04:00:00
9,优,330213,66,29.6506,优,--,36,10,74,优,#00E400,#00E400,8,奉化教育局,#00E400,25,优,优,优,330200,#00E400,121.4042,#00E400,10,优,0.5,优,#00E400,#00E400,330283005,优,#00E400,宁波市,#00E400,优,25,27,#00E400,10,2026-09-23 04:00:00
10,优,330326,46,27.6593,优,--,33,10,69,优,#00E400,#00E400,9,平阳监测站,#00E400,25,优,优,优,330300,#00E400,120.5705,#00E400,16,优,0.2,优,#00E400,#00E400,330326001,优,#00E400,温州市,#00E400,优,25,20,#00E400,10,2026-09-23 04:00:00
11,优,330382,82,28.1209,优,--,35,15,88,优,#00E400,#00E400,6,乐成,#00E400,26,优,优,优,330300,#00E400,120.9659,#00E400,10,优,0.6,优,#00E400,#00E400,330382001,优,#00E400,温州市,#00E400,优,19,21,#00E400,12,2026-09-23 04:00:00
12,优,330381,56,27.782284,优,--,26,20,90,优,#00E400,#00E400,10,安阳新区,#00E400,26,优,优,优,330300,#00E400,120.650915,#00E400,18,优,0.6,优,#00E400,#00E400,330381002,优,#00E400,温州市,#00E400,优,26,19,#00E400,12,2026-09-23 04:00:00
13,优,330328,54,27.7838,优,--,37,10,82,优,#00E400,#00E400,7,大峃,#00E400,26,优,优,优,330300,#00E400,120.085,#00E400,15,优,0.3,优,#00E400,#00E400,330328001,优,#00E400,温州市,#00E400,优,26,24,#00E400,12,2026-09-23 04:00:00
14,优,330326,59,27.6722,优,--,35,19,71,优,#00E400,#00E400,5,昆阳镇政府,#00E400,26,优,优,优,330300,#00E400,120.5542,#00E400,12,优,0.5,优,#00E400,#00E400,330326002,优,#00E400,温州市,#00E400,优,26,19,#00E400,12,2026-09-23 04:00:00
15,优,330727,71,29.051486,优,--,33,13,89,优,#00E400,#00E400,8,国税大楼,#00E400,26,优,优,优,330700,#00E400,120.438346,#00E400,13,优,0.4,优,#00E400,#00E400,330727002,优,#00E400,金华市,#00E400,优,26,22,#00E400,12,2026-09-23 04:00:00
