,O3H8_level,regioncode,O3,latitude,CO_level,SYWRW,PM10H24,NO2,O3H8,O3_level,PM10_color,PM25_color,SO2,sitename,O3H8_color,AQI,NO2_level,AQI_level,PM10H24_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,PM25H24_color,sitecode,PM25H24_level,AQI_color,districtname,O3_color,SO2_level,PM10,PM25H24,PM10H24_color,sort,time
0,优,331126,78,27.6211,优,--,32,4,68,优,#00E400,#00E400,5,庆元气象局,#00E400,25,优,优,优,331100,#00E400,119.0788,#00E400,11,优,0.8,优,#00E400,#00E400,331126002,优,#00E400,丽水市,#00E400,优,17,21,#00E400,1,2026-05-31 15:00:00
1,优,331126,84,27.629585,优,--,32,4,71,优,#00E400,#00E400,4,庆元监测楼,#00E400,27,优,优,优,331100,#00E400,119.054809,#00E400,14,优,0.7,优,#00E400,#00E400,331126001,优,#00E400,丽水市,#00E400,优,22,20,#00E400,2,2026-05-31 15:00:00
2,良,330326,99,27.6593,优,--,29,6,111,优,#00E400,#00E400,9,平阳监测站,#FFFF00,31,优,优,优,330300,#00E400,120.5705,#00E400,2,优,0.5,优,#00E400,#00E400,330326001,优,#00E400,温州市,#00E400,优,6,14,#00E400,3,2026-05-31 15:00:00
3,优,331181,98,28.076,优,--,25,6,79,优,#00E400,#00E400,9,粮食大楼,#00E400,31,优,优,优,331100,#00E400,119.1217,#00E400,18,优,0.5,优,#00E400,#00E400,331181002,优,#00E400,丽水市,#00E400,优,20,20,#00E400,3,2026-05-31 15:00:00
4,良,330327,100,27.503889,优,--,22,13,132,优,#00E400,#00E400,9,灵溪,#FFFF00,32,优,优,优,330300,#00E400,120.395278,#00E400,7,优,0.4,优,#00E400,#00E400,330327001,优,#00E400,温州市,#00E400,优,13,13,#00E400,5,2026-05-31 15:00:00
5,优,331181,100,28.08007,优,--,36,5,78,优,#00E400,#00E400,8,龙泉环保大楼,#00E400,32,优,优,优,331100,#00E400,119.1328,#00E400,12,优,0.5,优,#00E400,#00E400,331181001,优,#00E400,丽水市,#00E400,优,23,18,#00E400,5,2026-05-31 15:00:00
6,良,331024,114,28.8589,优,--,23,8,109,优,#00E400,#00E400,7,仙居环监站,#FFFF00,36,优,优,优,331000,#00E400,120.7248,#00E400,11,优,0.3,优,#00E400,#00E400,331024001,优,#00E400,台州市,#00E400,优,16,11,#00E400,7,2026-05-31 15:00:00
7,良,330329,116,27.557,优,--,30,6,116,优,#00E400,#00E400,5,罗阳,#FFFF00,37,优,优,优,330300,#00E400,119.7084,#00E400,12,优,0.3,优,#00E400,#00E400,330329001,优,#00E400,温州市,#00E400,优,20,18,#00E400,8,2026-05-31 15:00:00
8,良,331081,118,28.37558,优,--,28,9,106,优,#00E400,#00E400,6,温岭环监站,#FFFF00,37,优,优,优,331000,#00E400,121.36579,#00E400,2,优,0.3,优,#00E400,#00E400,331081001,优,#00E400,台州市,#00E400,优,11,18,#00E400,8,2026-05-31 15:00:00
9,良,331127,120,28.002222,优,--,28,4,104,优,#00E400,#00E400,4,红星小学,#FFFF00,38,优,优,优,331100,#00E400,119.636389,#00E400,13,优,0.4,优,#00E400,#00E400,331127003,优,#00E400,丽水市,#00E400,优,25,16,#00E400,10,2026-05-31 15:00:00
10,良,330683,120,29.5663,优,--,23,8,109,优,#00E400,#00E400,6,丽湖小区,#FFFF00,38,优,优,优,330600,#00E400,120.8173,#00E400,10,优,0.3,优,#00E400,#00E400,330683002,优,#00E400,绍兴市,#00E400,优,12,15,#00E400,10,2026-05-31 15:00:00
11,良,330783,119,29.30093,优,--,34,7,113,优,#00E400,#00E400,6,广厦学院,#FFFF00,38,优,优,优,330700,#00E400,120.24157,#00E400,14,优,0.4,优,#00E400,#00E400,330783001,优,#00E400,金华市,#00E400,优,24,17,#00E400,10,2026-05-31 15:00:00
12,良,331024,121,28.7403,优,--,21,7,117,优,#00E400,#00E400,5,新生中学,#FFFF00,38,优,优,优,331000,#00E400,120.4728,#00E400,4,优,0.4,优,#00E400,#00E400,331024002,优,#00E400,台州市,#00E400,优,15,7,#00E400,10,2026-05-31 15:00:00
13,良,330305,124,27.8342,优,--,23,5,131,优,#00E400,#00E400,8,洞头气象局,#FFFF00,39,优,优,优,330300,#00E400,121.1502,#00E400,5,优,0.5,优,#00E400,#00E400,330305001,优,#00E400,温州市,#00E400,优,13,12,#00E400,14,2026-05-31 15:00:00
14,良,331023,124,29.1504,优,--,22,9,113,优,#00E400,#00E400,6,育青中学,#FFFF00,39,优,优,优,331000,#00E400,121.0091,#00E400,9,优,0.4,优,#00E400,#00E400,331023001,优,#00E400,台州市,#00E400,优,17,11,#00E400,14,2026-05-31 15:00:00
15,良,331022,124,29.11779,优,--,21,6,117,优,#00E400,#00E400,6,三门环监楼,#FFFF00,39,优,优,优,331000,#00E400,121.382189,#00E400,6,优,0.4,优,#00E400,#00E400,331022001,优,#00E400,台州市,#00E400,优,13,10,#00E400,14,2026-05-31 15:00:00
16,良,331122,124,28.6628,优,--,30,16,115,优,#00E400,#00E400,7,信访大楼,#FFFF00,39,优,优,优,331100,#00E400,120.0856,#00E400,18,优,0.4,优,#00E400,#00E400,331122002,优,#00E400,丽水市,#00E400,优,31,18,#00E400,14,2026-05-31 15:00:00
17,良,331124,122,28.4505,优,--,30,9,114,优,#00E400,#00E400,5,松阳监测楼,#FFFF00,39,优,优,优,331100,#00E400,119.4799,#00E400,22,优,0.4,优,#00E400,#00E400,331124001,优,#00E400,丽水市,#00E400,优,25,24,#00E400,14,2026-05-31 15:00:00
18,良,331127,123,27.9772,优,--,24,5,106,优,#00E400,#00E400,4,景宁县政府,#FFFF00,39,优,优,优,331100,#00E400,119.6311,#00E400,19,优,0.4,优,#00E400,#00E400,331127002,优,#00E400,丽水市,#00E400,优,23,18,#00E400,14,2026-05-31 15:00:00
19,良,330381,126,27.791645,优,--,33,8,122,优,#00E400,#00E400,6,花园桥,#FFFF00,40,优,优,优,330300,#00E400,120.62372,#00E400,5,优,0.4,优,#00E400,#00E400,330381001,优,#00E400,温州市,#00E400,优,16,15,#00E400,20,2026-05-31 15:00:00
20,良,330381,127,27.782284,优,--,29,7,128,优,#00E400,#00E400,8,安阳新区,#FFFF00,40,优,优,优,330300,#00E400,120.650915,#00E400,6,优,0.4,优,#00E400,#00E400,330381002,优,#00E400,温州市,#00E400,优,10,16,#00E400,20,2026-05-31 15:00:00
21,良,330329,125,27.5438,优,--,28,7,117,优,#00E400,#00E400,6,泰顺实验中学,#FFFF00,40,优,优,优,330300,#00E400,119.716111,#00E400,9,优,0.3,优,#00E400,#00E400,330329002,优,#00E400,温州市,#00E400,优,17,18,#00E400,20,2026-05-31 15:00:00
