site,city,AQI,SO₂,NO₂,O₃,PM₁₀,PM₂.₅,CO,O₃-8h,PM₁₀-24h,PM₂.₅-24h,time
庆元监测楼,丽水市,--,4,10,23,34,--,0.8,48,35,21,2026-05-31 01:00:00
信访大楼,丽水市,34,7,28,71,34,22,0.5,97,37,22,2026-05-31 01:00:00
松阳监测楼,丽水市,36,4,24,47,32,25,0.6,74,37,29,2026-05-31 01:00:00
庆元气象局,丽水市,36,5,6,26,36,24,1.0,54,38,25,2026-05-31 01:00:00
遂昌中学,丽水市,39,4,17,24,39,24,0.8,49,46,28,2026-05-31 01:00:00
云和三中,丽水市,39,6,26,18,39,22,0.6,53,38,19,2026-05-31 01:00:00
缙云中学,丽水市,33,7,29,85,33,19,0.5,98,43,25,2026-05-31 01:00:00
龙泉环保大楼,丽水市,45,8,10,38,45,22,0.5,46,42,23,2026-05-31 01:00:00
红星小学,丽水市,27,4,7,35,27,15,0.5,65,26,15,2026-05-31 01:00:00
和平水厂,丽水市,42,5,28,48,42,23,0.7,79,42,24,2026-05-31 01:00:00
遂昌民政局,丽水市,46,5,16,23,39,32,0.8,43,46,31,2026-05-31 01:00:00
粮食大楼,丽水市,25,9,6,42,23,17,0.5,54,31,26,2026-05-31 01:00:00
云和监测楼,丽水市,25,7,12,25,25,15,0.8,53,26,17,2026-05-31 01:00:00
塔山小学,丽水市,48,7,23,87,48,24,0.5,99,55,36,2026-05-31 01:00:00
景宁县政府,丽水市,23,4,12,37,23,15,0.5,66,21,15,2026-05-31 01:00:00
青田中学,丽水市,58,6,51,44,60,27,0.6,68,46,28,2026-05-31 01:00:00
心湖站,台州市,43,7,9,136,24,12,0.4,155,25,12,2026-05-31 01:00:00
天台实验中学,台州市,42,8,15,132,23,12,0.5,132,23,14,2026-05-31 01:00:00
育青中学,台州市,41,6,14,131,24,9,0.5,130,23,11,2026-05-31 01:00:00
温岭环监站,台州市,40,7,10,119,34,28,0.4,128,19,9,2026-05-31 01:00:00
玉环环监站,台州市,--,--,7,132,35,17,0.7,147,23,12,2026-05-31 01:00:00
三门环监楼,台州市,39,6,9,123,21,9,0.5,137,28,14,2026-05-31 01:00:00
临海环保大楼,台州市,38,6,16,119,28,13,0.5,130,23,11,2026-05-31 01:00:00
楚门中心小学,台州市,50,7,13,158,26,12,0.7,157,16,10,2026-05-31 01:00:00
之江高级中学,台州市,46,5,4,146,13,20,0.5,161,7,10,2026-05-31 01:00:00
巾山实验小学,台州市,33,4,19,81,33,16,0.5,119,31,15,2026-05-31 01:00:00
新生中学,台州市,21,6,13,65,18,2,0.4,89,23,12,2026-05-31 01:00:00
仙居环监站,台州市,28,7,10,87,28,5,0.4,93,19,10,2026-05-31 01:00:00
海盐商贸学校,嘉兴市,40,4,12,127,13,6,0.3,136,20,10,2026-05-31 01:00:00
嘉善监测大楼,嘉兴市,50,8,21,100,50,23,0.3,102,46,22,2026-05-31 01:00:00
胜利社区,嘉兴市,37,7,17,115,37,11,0.5,106,43,18,2026-05-31 01:00:00
振东新六中站,嘉兴市,52,5,36,86,52,23,0.5,94,46,22,2026-05-31 01:00:00
植材小学,嘉兴市,54,9,40,73,55,7,0.6,84,37,13,2026-05-31 01:00:00
茅盾小学,嘉兴市,55,5,41,78,56,23,0.4,92,49,21,2026-05-31 01:00:00
文化中心,嘉兴市,56,10,40,59,58,23,0.5,85,42,20,2026-05-31 01:00:00
高级中学,嘉兴市,43,6,9,135,19,7,0.4,140,20,8,2026-05-31 01:00:00
陆家桥村,嘉兴市,33,9,22,105,28,15,0.3,111,32,18,2026-05-31 01:00:00
气象观测台,嘉兴市,42,11,32,90,42,19,0.5,99,52,24,2026-05-31 01:00:00
硖石街道,嘉兴市,34,10,16,108,32,11,0.4,108,35,13,2026-05-31 01:00:00
平湖幼儿园,嘉兴市,34,8,15,107,29,14,0.6,114,35,18,2026-05-31 01:00:00
海宁监测大楼,嘉兴市,37,7,13,116,35,10,0.2,116,35,15,2026-05-31 01:00:00
宁海水利局,宁波市,45,7,15,144,22,9,0.3,156,24,12,2026-05-31 01:00:00
姚江小学,宁波市,38,8,38,77,38,24,0.5,126,26,15,2026-05-31 01:00:00
钱湖水厂,宁波市,31,5,22,97,26,12,0.3,118,33,17,2026-05-31 01:00:00
龙山公园,宁波市,42,8,35,75,42,24,0.5,125,30,17,2026-05-31 01:00:00
文峰小学,宁波市,43,8,8,135,22,9,0.6,151,19,8,2026-05-31 01:00:00
石浦新港小学,宁波市,40,8,16,126,29,15,0.5,159,22,10,2026-05-31 01:00:00
宁海城南站,宁波市,31,7,20,87,31,18,0.4,149,24,12,2026-05-31 01:00:00
慈溪环保大楼,宁波市,55,5,36,87,57,29,0.5,123,34,18,2026-05-31 01:00:00
慈溪实验小学,宁波市,59,5,24,96,62,33,0.5,129,33,18,2026-05-31 01:00:00
溪口政府大楼,宁波市,33,4,66,31,23,11,0.3,97,28,14,2026-05-31 01:00:00
大桥市场,宁波市,34,6,24,106,29,15,0.4,128,33,16,2026-05-31 01:00:00
