,O3H8_level,regioncode,O3,latitude,CO_level,SYWRW,PM10H24,NO2,O3H8,O3_level,PM10_color,PM25_color,SO2,sitename,O3H8_color,AQI,NO2_level,AQI_level,PM10H24_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,PM25H24_color,sitecode,PM25H24_level,AQI_color,districtname,O3_color,SO2_level,PM10,PM25H24,PM10H24_color,sort,time
0,优,331126,73,27.6211,优,--,36,4,34,优,#00E400,#00E400,5,庆元气象局,#00E400,23,优,优,优,331100,#00E400,119.0788,#00E400,8,优,0.8,优,#00E400,#00E400,331126002,优,#00E400,丽水市,#00E400,优,11,24,#00E400,1,2026-05-31 11:00:00
1,优,331126,80,27.629585,优,--,36,6,35,优,#00E400,#00E400,4,庆元监测楼,#00E400,25,优,优,优,331100,#00E400,119.054809,#00E400,8,优,0.7,优,#00E400,#00E400,331126001,优,#00E400,丽水市,#00E400,优,12,22,#00E400,2,2026-05-31 11:00:00
2,优,331181,87,28.08007,优,--,37,6,42,优,#00E400,#00E400,8,龙泉环保大楼,#00E400,34,优,优,优,331100,#00E400,119.1328,#00E400,18,优,0.5,优,#00E400,#00E400,331181001,优,#00E400,丽水市,#00E400,优,34,19,#00E400,3,2026-05-31 11:00:00
3,优,331127,110,28.002222,优,--,27,4,66,优,#00E400,#00E400,5,红星小学,#00E400,35,优,优,优,331100,#00E400,119.636389,#00E400,15,优,0.4,优,#00E400,#00E400,331127003,优,#00E400,丽水市,#00E400,优,27,15,#00E400,4,2026-05-31 11:00:00
4,优,331081,110,28.37558,优,--,29,8,91,优,#00E400,#00E400,6,温岭环监站,#00E400,35,优,优,优,331000,#00E400,121.36579,#00E400,7,优,0.4,优,#00E400,#00E400,331081001,优,#00E400,台州市,#00E400,优,14,18,#00E400,4,2026-05-31 11:00:00
5,优,331127,112,27.9772,优,--,23,5,70,优,#00E400,#00E400,4,景宁县政府,#00E400,35,优,优,优,331100,#00E400,119.6311,#00E400,21,优,0.4,优,#00E400,#00E400,331127002,优,#00E400,丽水市,#00E400,优,25,17,#00E400,4,2026-05-31 11:00:00
6,优,330784,115,28.90016,优,--,37,4,84,优,#00E400,#00E400,8,西城供电所,#00E400,36,优,优,优,330700,#00E400,120.01452,#00E400,9,优,0.2,优,#00E400,#00E400,330784002,优,#00E400,金华市,#00E400,优,25,17,#00E400,7,2026-05-31 11:00:00
7,优,331082,114,28.873,优,--,24,8,95,优,#00E400,#00E400,6,临海环保大楼,#00E400,36,优,优,优,331000,#00E400,121.1769,#00E400,7,优,0.4,优,#00E400,#00E400,331082001,优,#00E400,台州市,#00E400,优,15,12,#00E400,7,2026-05-31 11:00:00
8,优,330683,116,29.5663,优,--,24,7,90,优,#00E400,#00E400,7,丽湖小区,#00E400,37,优,优,优,330600,#00E400,120.8173,#00E400,13,优,0.3,优,#00E400,#00E400,330683002,优,#00E400,绍兴市,#00E400,优,17,16,#00E400,9,2026-05-31 11:00:00
9,良,330922,118,30.7269,优,--,18,18,103,优,#00E400,#00E400,9,嵊泗菜园,#FFFF00,37,优,优,优,330900,#00E400,122.4464,#00E400,7,优,0.4,优,#00E400,#00E400,330922001,优,#00E400,舟山市,#00E400,优,12,10,#00E400,9,2026-05-31 11:00:00
10,优,331023,116,29.1504,优,--,24,9,86,优,#00E400,#00E400,6,育青中学,#00E400,37,优,优,优,331000,#00E400,121.0091,#00E400,9,优,0.4,优,#00E400,#00E400,331023001,优,#00E400,台州市,#00E400,优,16,11,#00E400,9,2026-05-31 11:00:00
11,良,331022,118,29.11779,优,--,22,8,103,优,#00E400,#00E400,6,三门环监楼,#FFFF00,37,优,优,优,331000,#00E400,121.382189,#00E400,7,优,0.4,优,#00E400,#00E400,331022001,优,#00E400,台州市,#00E400,优,14,11,#00E400,9,2026-05-31 11:00:00
12,优,331122,116,28.6628,优,--,32,13,97,优,#00E400,#00E400,7,信访大楼,#00E400,37,优,优,优,331100,#00E400,120.0856,#00E400,14,优,0.4,优,#00E400,#00E400,331122002,优,#00E400,丽水市,#00E400,优,26,19,#00E400,9,2026-05-31 11:00:00
13,良,330921,120,30.2669,优,--,22,21,121,优,#00E400,#00E400,7,岱山环保大楼,#FFFF00,38,优,优,优,330900,#00E400,122.2199,#00E400,8,优,0.4,优,#00E400,#00E400,330921001,优,#00E400,舟山市,#00E400,优,19,9,#00E400,14,2026-05-31 11:00:00
14,良,331023,119,29.1342,优,--,23,10,103,优,#00E400,#00E400,6,天台实验中学,#FFFF00,38,优,优,优,331000,#00E400,121.0349,#00E400,8,优,0.4,优,#00E400,#00E400,331023002,优,#00E400,台州市,#00E400,优,22,12,#00E400,14,2026-05-31 11:00:00
15,优,331181,90,28.076,优,--,26,8,48,优,#00E400,#00E400,9,粮食大楼,#00E400,38,优,优,优,331100,#00E400,119.1217,#00E400,26,优,0.5,优,#00E400,#00E400,331181002,优,#00E400,丽水市,#00E400,优,29,21,#00E400,14,2026-05-31 11:00:00
16,优,330324,122,28.044335,优,--,29,17,69,优,#00E400,#00E400,7,瓯北,#00E400,39,优,优,优,330300,#00E400,120.654963,#00E400,15,优,0.5,优,#00E400,#00E400,330324002,优,#00E400,温州市,#00E400,优,27,15,#00E400,17,2026-05-31 11:00:00
17,优,331122,122,28.6574,优,--,38,14,90,优,#00E400,#00E400,7,缙云中学,#00E400,39,优,优,优,331100,#00E400,120.0696,#00E400,12,优,0.4,优,#00E400,#00E400,331122001,优,#00E400,丽水市,#00E400,优,20,21,#00E400,17,2026-05-31 11:00:00
18,优,331125,124,28.1173,优,--,25,9,64,优,#00E400,#00E400,8,云和监测楼,#00E400,39,优,优,优,331100,#00E400,119.5626,#00E400,12,优,0.6,优,#00E400,#00E400,331125001,优,#00E400,丽水市,#00E400,优,19,16,#00E400,17,2026-05-31 11:00:00
19,优,330324,128,28.158269,优,--,34,7,78,优,#00E400,#00E400,7,上塘,#00E400,40,优,优,优,330300,#00E400,120.694244,#00E400,17,优,0.6,优,#00E400,#00E400,330324001,优,#00E400,温州市,#00E400,优,27,21,#00E400,20,2026-05-31 11:00:00
20,良,330482,127,30.7292,优,--,24,11,117,优,#00E400,#00E400,9,陆家桥村,#FFFF00,40,优,优,优,330400,#00E400,120.9953,#00E400,5,优,0.1,优,#00E400,#00E400,330482002,优,#00E400,嘉兴市,#00E400,优,10,13,#00E400,20,2026-05-31 11:00:00
21,良,330483,127,30.6488,优,--,44,11,101,优,#00E400,#00E400,5,茅盾小学,#FFFF00,40,优,优,优,330400,#00E400,120.5498,#00E400,11,优,0.3,优,#00E400,#00E400,330483001,优,#00E400,嘉兴市,#00E400,优,26,19,#00E400,20,2026-05-31 11:00:00
22,优,330483,126,30.625,优,--,42,14,98,优,#00E400,#00E400,5,振东新六中站,#00E400,40,优,优,优,330400,#00E400,120.5613,#00E400,9,优,0.4,优,#00E400,#00E400,330483002,优,#00E400,嘉兴市,#00E400,优,16,18,#00E400,20,2026-05-31 11:00:00
23,优,330522,126,31.0263,优,--,33,10,65,优,#00E400,#00E400,7,龙山新区,#00E400,40,优,优,优,330500,#00E400,119.9046,#00E400,17,优,0.2,优,#00E400,#00E400,330522002,优,#00E400,湖州市,#00E400,优,26,18,#00E400,20,2026-05-31 11:00:00
24,优,330783,126,29.30093,优,--,36,9,90,优,#00E400,#00E400,7,广厦学院,#00E400,40,优,优,优,330700,#00E400,120.24157,#00E400,13,优,0.4,优,#00E400,#00E400,330783001,优,#00E400,金华市,#00E400,优,25,18,#00E400,20,2026-05-31 11:00:00
25,良,331083,126,28.12715,优,--,26,8,107,优,#00E400,#00E400,10,玉环环监站,#FFFF00,40,优,优,优,331000,#00E400,121.2339,#00E400,10,优,0.6,优,#00E400,#00E400,331021001,优,#00E400,台州市,#00E400,优,17,14,#00E400,20,2026-05-31 11:00:00
26,良,331083,128,28.2221,优,--,26,12,113,优,#00E400,#00E400,6,楚门中心小学,#FFFF00,40,优,优,优,331000,#00E400,121.2846,#00E400,6,优,0.6,优,#00E400,#00E400,331021002,优,#00E400,台州市,#00E400,优,15,13,#00E400,20,2026-05-31 11:00:00
27,优,331024,127,28.7403,优,--,22,7,83,优,#00E400,#00E400,7,新生中学,#00E400,40,优,优,优,331000,#00E400,120.4728,#00E400,12,优,0.5,优,#00E400,#00E400,331024002,优,#00E400,台州市,#00E400,优,23,8,#00E400,20,2026-05-31 11:00:00
28,良,331081,128,28.39136,优,--,13,3,110,优,#00E400,#00E400,4,之江高级中学,#FFFF00,40,优,优,优,331000,#00E400,121.37696,#00E400,6,优,0.4,优,#00E400,#00E400,331081002,优,#00E400,台州市,#00E400,优,11,14,#00E400,20,2026-05-31 11:00:00
29,优,331124,126,28.4505,优,--,30,8,78,优,#00E400,#00E400,5,松阳监测楼,#00E400,40,优,优,优,331100,#00E400,119.4799,#00E400,22,优,0.4,优,#00E400,#00E400,331124001,优,#00E400,丽水市,#00E400,优,27,24,#00E400,20,2026-05-31 11:00:00
30,优,330328,131,27.7838,优,--,34,5,69,优,#00E400,#00E400,8,大峃,#00E400,41,优,优,优,330300,#00E400,120.085,#00E400,17,优,0.4,优,#00E400,#00E400,330328001,优,#00E400,温州市,#00E400,优,26,20,#00E400,31,2026-05-31 11:00:00
31,良,330329,129,27.5438,优,--,29,7,104,优,#00E400,#00E400,6,泰顺实验中学,#FFFF00,41,优,优,优,330300,#00E400,119.716111,#00E400,7,优,0.3,优,#00E400,#00E400,330329002,优,#00E400,温州市,#00E400,优,12,19,#00E400,31,2026-05-31 11:00:00
32,良,330683,129,29.5901,优,--,27,6,107,优,#00E400,#00E400,5,马寅初初中,#FFFF00,41,优,优,优,330600,#00E400,120.8249,#00E400,7,优,0.3,优,#00E400,#00E400,330683001,优,#00E400,绍兴市,#00E400,优,13,14,#00E400,31,2026-05-31 11:00:00
33,优,330624,129,29.5036,优,--,27,8,98,优,#00E400,#00E400,4,钟楼站,#00E400,41,优,优,优,330600,#00E400,120.8938,#00E400,10,优,0.4,优,#00E400,#00E400,330624001,优,#00E400,绍兴市,#00E400,优,18,14,#00E400,31,2026-05-31 11:00:00
34,优,330727,131,29.039869,优,--,20,5,91,优,#00E400,#00E400,7,南园初中,#00E400,41,优,优,优,330700,#00E400,120.440622,#00E400,11,优,0.4,优,#00E400,#00E400,330727003,优,#00E400,金华市,#00E400,优,18,10,#00E400,31,2026-05-31 11:00:00
35,优,330824,131,29.1478,优,--,39,9,70,优,#00E400,#00E400,9,开化监测大楼,#00E400,41,优,优,优,330800,#00E400,118.4108,#00E400,23,优,0.4,优,#00E400,#00E400,330824002,优,#00E400,衢州市,#00E400,优,35,26,#00E400,31,2026-05-31 11:00:00
36,优,331024,129,28.8589,优,--,23,8,94,优,#00E400,#00E400,9,仙居环监站,#00E400,41,优,优,优,331000,#00E400,120.7248,#00E400,14,优,0.4,优,#00E400,#00E400,331024001,优,#00E400,台州市,#00E400,优,36,11,#00E400,31,2026-05-31 11:00:00
37,优,331125,129,28.1062,优,--,37,6,60,优,#00E400,#00E400,6,云和三中,#00E400,41,优,优,优,331100,#00E400,119.5728,#00E400,15,优,0.4,优,#00E400,#00E400,331125002,优,#00E400,丽水市,#00E400,优,33,19,#00E400,31,2026-05-31 11:00:00
38,优,330328,132,27.804722,优,--,27,6,70,优,#00E400,#00E400,8,文成中学,#00E400,42,优,优,优,330300,#00E400,120.077222,#00E400,16,优,0.3,优,#00E400,#00E400,330328002,优,#00E400,温州市,#00E400,优,28,16,#00E400,39,2026-05-31 11:00:00
39,良,330329,132,27.557,优,--,31,5,104,优,#00E400,#00E400,6,罗阳,#FFFF00,42,优,优,优,330300,#00E400,119.7084,#00E400,11,优,0.3,优,#00E400,#00E400,330329001,优,#00E400,温州市,#00E400,优,19,19,#00E400,39,2026-05-31 11:00:00
