,O3,latitude,CO_level,SYWRW,NO2,PM10_color,O3_level,PM25_color,SO2,sitename,AQI,NO2_level,AQI_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,sitecode,AQI_color,districtname,O3_color,SO2_level,PM10,time
0,141,30.28,优,--,11,#00E400,优,#00E400,8,杭州市,45,优,优,330100,#00E400,120.15,#00E400,9,优,0.3,优,#00E400,330100,#00E400,杭州市,#00E400,优,25,2026-05-09 16:00:00
1,114,29.88,优,--,6,#00E400,优,#00E400,5,宁波市,36,优,优,330200,#00E400,121.55,#00E400,1,优,0.2,优,#00E400,330200,#00E400,宁波市,#00E400,优,17,2026-05-09 16:00:00
2,116,28,优,--,17,#00E400,优,#00E400,5,温州市,37,优,优,330300,#00E400,120.7,#00E400,11,优,0.2,优,#00E400,330300,#00E400,温州市,#00E400,优,30,2026-05-09 16:00:00
3,170,30.75,优,O₃,14,#00E400,良,#00E400,8,嘉兴市,63,优,良,330400,#00E400,120.75,#00E400,13,优,0.3,优,#00E400,330400,#FFFF00,嘉兴市,#FFFF00,优,36,2026-05-09 16:00:00
4,164,30.9,优,O₃,11,#00E400,良,#00E400,6,湖州市,55,优,良,330500,#00E400,120.08,#00E400,17,优,0.3,优,#00E400,330500,#FFFF00,湖州市,#FFFF00,优,30,2026-05-09 16:00:00
5,126,30,优,--,8,#00E400,优,#00E400,7,绍兴市,40,优,优,330600,#00E400,120.57,#00E400,6,优,0.2,优,#00E400,330600,#00E400,绍兴市,#00E400,优,14,2026-05-09 16:00:00
6,107,29.08,优,--,7,#00E400,优,#00E400,3,金华市,34,优,优,330700,#00E400,119.65,#00E400,3,优,0.3,优,#00E400,330700,#00E400,金华市,#00E400,优,10,2026-05-09 16:00:00
7,118,28.93,优,--,14,#00E400,优,#00E400,8,衢州市,37,优,优,330800,#00E400,118.87,#00E400,23,优,0.4,优,#00E400,330800,#00E400,衢州市,#00E400,优,34,2026-05-09 16:00:00
8,101,30,优,--,13,#00E400,优,#00E400,6,舟山市,32,优,优,330900,#00E400,122.2,#00E400,2,优,0.3,优,#00E400,330900,#00E400,舟山市,#00E400,优,19,2026-05-09 16:00:00
9,119,28.68,优,--,11,#00E400,优,#00E400,5,台州市,38,优,优,331000,#00E400,121.43,#00E400,4,优,0.3,优,#00E400,331000,#00E400,台州市,#00E400,优,19,2026-05-09 16:00:00
10,90,28.45,优,--,8,#00E400,优,#00E400,4,丽水市,29,优,优,331100,#00E400,119.92,#00E400,2,优,0.2,优,#00E400,331100,#00E400,丽水市,#00E400,优,9,2026-05-09 16:00:00
