,O3,latitude,CO_level,SYWRW,NO2,PM10_color,O3_level,PM25_color,SO2,sitename,AQI,NO2_level,AQI_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,sitecode,AQI_color,districtname,O3_color,SO2_level,PM10,time
0,81,30.28,优,PM₂.₅,20,#FFFF00,优,#FFFF00,7,杭州市,70,优,良,330100,#00E400,120.15,#00E400,45,良,0.8,良,#00E400,330100,#FFFF00,杭州市,#00E400,优,54,2026-09-22 01:00:00
1,95,29.88,优,--,11,#00E400,优,#00E400,8,宁波市,30,优,优,330200,#00E400,121.55,#00E400,10,优,0.6,优,#00E400,330200,#00E400,宁波市,#00E400,优,24,2026-09-22 01:00:00
2,88,28,优,PM₁₀,16,#FFFF00,优,#00E400,6,温州市,55,优,良,330300,#00E400,120.7,#00E400,29,良,0.6,优,#00E400,330300,#FFFF00,温州市,#00E400,优,56,2026-09-22 01:00:00
3,74,30.75,优,--,18,#00E400,优,#00E400,8,嘉兴市,38,优,优,330400,#00E400,120.75,#00E400,26,优,0.2,优,#00E400,330400,#00E400,嘉兴市,#00E400,优,34,2026-09-22 01:00:00
4,80,30.9,优,PM₂.₅,16,#00E400,优,#FFFF00,8,湖州市,54,优,良,330500,#00E400,120.08,#00E400,37,优,0.7,良,#00E400,330500,#FFFF00,湖州市,#00E400,优,46,2026-09-22 01:00:00
5,98,30,优,--,13,#00E400,优,#00E400,6,绍兴市,48,优,优,330600,#00E400,120.57,#00E400,33,优,0.6,优,#00E400,330600,#00E400,绍兴市,#00E400,优,48,2026-09-22 01:00:00
6,75,29.08,优,PM₂.₅,40,#FFFF00,优,#FFFF00,6,金华市,80,优,良,330700,#00E400,119.65,#00E400,50,良,0.7,良,#00E400,330700,#FFFF00,金华市,#00E400,优,81,2026-09-22 01:00:00
7,99,28.93,优,--,19,#00E400,优,#00E400,6,衢州市,48,优,优,330800,#00E400,118.87,#00E400,33,优,0.5,优,#00E400,330800,#00E400,衢州市,#00E400,优,47,2026-09-22 01:00:00
8,99,30,优,--,5,#00E400,优,#00E400,7,舟山市,31,优,优,330900,#00E400,122.2,#00E400,8,优,0.5,优,#00E400,330900,#00E400,舟山市,#00E400,优,19,2026-09-22 01:00:00
9,90,28.68,优,PM₁₀,10,#FFFF00,优,#00E400,8,台州市,53,优,良,331000,#00E400,121.43,#00E400,34,良,0.7,优,#00E400,331000,#FFFF00,台州市,#00E400,优,54,2026-09-22 01:00:00
10,45,28.45,优,--,22,#00E400,优,#00E400,6,丽水市,50,优,优,331100,#00E400,119.92,#00E400,35,优,0.8,优,#00E400,331100,#00E400,丽水市,#00E400,优,44,2026-09-22 01:00:00
